Date,Day,Future,Expiry.Day,Start.Time,End.Time,Target,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Price,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Price,PE.SL.Flag,PE.SL.Time,PE.PNL,UT.Strike,UT.Open,UT.High,UT.Low,UT.Close,UT.SL.Price,UT.SL.Flag,UT.SL.Time,BPL,TT PL at SL,UT PL at SL,UT PL,Total PNL
2024-01-01,Monday,21817.15,FALSE,09:20:00,15:25:00,52.5,21850CE,64.75,159.15,48.0,49.4,116.55,True,2024-01-01 14:14:00,-52.45,21600PE,72.0,73.35,22.5,50.7,129.6,False,,20.58,21600PE,27.9,53.0,22.5,50.7,41.849999999999994,True,2024-01-01 15:13:00,0.0,-52.45,43.38,-13.95,-23.02
2024-01-08,Monday,21780.05,FALSE,09:20:00,15:25:00,52.5,21800CE,66.4,81.55,19.2,19.5,119.52000000000001,False,,46.24,21650PE,70.3,190.45,60.85,180.6,126.53999999999999,True,2024-01-08 11:07:00,-56.94,21800CE,35.7,42.8,19.2,19.5,53.550000000000004,False,,0.0,-56.94,30.036,16.2,-10.703999999999997
2024-01-15,Monday,22082.05,FALSE,09:20:00,15:25:00,55.0,22200CE,64.8,77.65,40.6,70.6,116.64,False,,-6.45,21900PE,64.8,92.4,41.2,41.85,116.64,False,,22.3,,,,,,,False,,15.850000000000001,0.0,0.0,0.0,15.850000000000001
2024-01-20,Saturday,21741.0,FALSE,09:20:00,15:25:00,52.5,21950CE,53.3,53.8,22.95,29.55,95.94,False,,23.22,21550PE,58.05,126.7,57.7,99.6,104.49,True,2024-01-20 14:45:00,-47.02,21950CE,27.75,31.0,22.95,29.55,41.625,False,,0.0,-47.02,25.016999999999996,-1.8,-23.803000000000008
2024-01-29,Monday,21648.55,FALSE,09:20:00,15:25:00,52.5,21900CE,59.35,129.45,59.2,121.3,106.83,True,2024-01-29 12:52:00,-48.07,21200PE,57.05,61.6,24.1,25.35,102.69,False,,31.13,21200PE,40.45,43.65,24.1,25.35,60.675000000000004,False,,0.0,-48.07,16.029499999999995,15.1,-16.940500000000007
2024-02-05,Monday,21920.85,FALSE,09:20:00,15:25:00,52.5,22100CE,62.05,104.9,28.85,32.5,111.69,False,,28.93,21600PE,63.65,109.8,34.85,84.2,114.57,False,,-21.19,,,,,,,False,,7.739999999999998,0.0,0.0,0.0,7.739999999999998
2024-02-12,Monday,21871.0,FALSE,09:20:00,15:25:00,52.5,22000CE,66.0,69.7,23.05,26.7,118.8,False,,38.64,21600PE,67.8,161.4,64.35,120.95,122.03999999999999,True,2024-02-12 12:05:00,-54.92,22000CE,30.2,36.55,23.05,26.7,45.3,False,,0.0,-54.92,35.14,3.5,-16.28
2024-02-19,Monday,22130.3,FALSE,09:20:00,15:25:00,55.0,22300CE,55.25,94.25,37.7,54.75,99.45,False,,-0.05,21850PE,62.15,87.55,35.75,48.35,111.87,False,,13.18,,,,,,,False,,13.129999999999999,0.0,0.0,0.0,13.129999999999999
2024-02-26,Monday,22201.25,FALSE,09:20:00,15:25:00,55.0,22400CE,59.8,69.6,34.3,37.7,107.64,False,,21.5,21950PE,55.95,89.9,46.35,61.4,100.71000000000001,False,,-6.01,,,,,,,False,,15.49,0.0,0.0,0.0,15.49
2024-03-04,Monday,22529.0,FALSE,09:20:00,15:25:00,55.0,22600CE,64.8,64.15,34.6,40.1,116.64,False,,24.05,22200PE,59.5,78.15,49.25,56.0,107.10000000000001,False,,2.91,,,,,,,False,,26.96,0.0,0.0,0.0,26.96
