Date,Day,Future,Expiry.Day,Start.Time,End.Time,Target,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Price,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Price,PE.SL.Flag,PE.SL.Time,PE.PNL,UT.Strike,UT.Open,UT.High,UT.Low,UT.Close,UT.SL.Price,UT.SL.Flag,UT.SL.Time,BPL,TT PL at SL,UT PL at SL,UT PL,Total PNL
2024-01-03,Wednesday,71556.9,FALSE,11:40:00,15:25:00,175.0,71900CE,189.5,234.8,80.7,89.6,341.1,False,,97.53,71300PE,185.35,277.05,149.35,243.85,333.63,False,,-60.82,,,,,,,False,,36.71,0.0,0.0,0.0,36.71
2024-01-10,Wednesday,71437.87,FALSE,11:40:00,15:25:00,175.0,71700CE,209.75,378.2,130.85,321.85,377.55,True,2024-01-10 15:04:00,-170.42,71100PE,199.65,327.25,65.2,67.85,359.37,False,,129.3,71100PE,65.95,110.5,65.2,67.85,98.92500000000001,True,2024-01-10 15:07:00,0.0,-170.42,131.204375,-32.98,-72.19562499999998
2024-01-17,Wednesday,71954.1,FALSE,11:40:00,15:25:00,175.0,72600CE,177.35,178.45,77.75,87.4,319.23,False,,87.73,71300PE,179.05,355.35,180.5,332.0,322.29,True,2024-01-17 14:45:00,-145.48,72600CE,94.8,101.05,77.75,87.4,142.2,False,,0.0,-145.48,80.333125,7.4,-57.746874999999996
2024-01-23,Tuesday,71165.56,FALSE,11:40:00,15:25:00,175.0,71800CE,186.9,216.15,51.05,64.0,336.42,False,,120.56,70500PE,176.25,614.8,175.95,467.15,317.25,True,2024-01-23 12:06:00,-143.2,71800CE,126.0,155.55,51.05,64.0,189.0,False,,0.0,-143.2,58.563750000000006,62.0,-22.63624999999999
2024-01-31,Wednesday,71784.76,FALSE,11:40:00,15:25:00,175.0,73200CE,185.35,195.55,120.2,189.0,333.63,False,,-5.97,70600PE,180.0,214.25,156.45,199.4,324.0,False,,-21.65,,,,,,,False,,-27.619999999999997,0.0,0.0,0.0,-27.619999999999997
2024-02-07,Wednesday,71995.67,FALSE,11:40:00,15:25:00,175.0,72800CE,192.0,242.55,166.0,197.9,345.6,False,,-8.3,71200PE,190.6,210.0,92.85,107.15,343.08,False,,81.07,,,,,,,False,,72.77,0.0,0.0,0.0,72.77
2024-02-14,Wednesday,71030.38,FALSE,11:40:00,15:25:00,175.0,71700CE,181.05,606.6,176.0,525.0,325.89000000000004,True,2024-02-14 14:15:00,-147.1,70400PE,185.45,196.1,47.4,47.45,333.81,False,,135.68,70400PE,88.4,90.65,47.4,47.45,132.60000000000002,False,,0.0,-147.1,94.73187499999999,40.95,-11.418125000000003
2024-02-21,Wednesday,73100.49,FALSE,11:40:00,15:25:00,175.0,73500CE,209.6,225.2,66.0,68.8,377.28,False,,138.18,72500PE,201.0,440.8,146.3,393.1,361.8,True,2024-02-21 14:25:00,-163.31,73500CE,102.25,112.8,66.0,68.8,153.375,False,,0.0,-163.31,104.72999999999999,33.45,-25.13000000000001
2024-02-28,Wednesday,72663.24,FALSE,11:40:00,15:25:00,175.0,73300CE,198.7,207.75,103.25,108.9,357.65999999999997,False,,87.32,72000PE,206.75,352.75,201.35,312.0,372.15000000000003,False,,-107.83,,,,,,,False,,-20.510000000000005,0.0,0.0,0.0,-20.510000000000005
2024-03-05,Tuesday,73519.26,FALSE,11:40:00,15:25:00,175.0,73900CE,198.0,382.2,198.3,216.9,356.40000000000003,True,2024-03-05 13:00:00,-160.88,73000PE,192.45,190.85,92.85,119.05,346.40999999999997,False,,70.99,73000PE,99.25,143.55,92.85,119.05,148.875,False,,0.0,-160.88,90.79437499999999,-19.8,-89.885625
2024-03-13,Wednesday,73184.52,FALSE,11:40:00,15:25:00,175.0,73900CE,201.55,204.75,59.7,61.0,362.79,False,,138.03,72700PE,192.95,493.45,178.85,395.55,347.31,True,2024-03-13 13:51:00,-156.77,73900CE,122.0,185.4,59.7,61.0,183.0,True,2024-03-13 14:00:00,0.0,-156.77,77.03062500000001,-61.0,-140.739375
2024-03-20,Wednesday,71984.9,FALSE,11:40:00,15:25:00,175.0,72600CE,181.05,298.45,148.0,198.7,325.89000000000004,False,,-19.91,71500PE,174.3,173.55,78.15,117.3,313.74,False,,54.82,,,,,,,False,,34.91,0.0,0.0,0.0,34.91
2024-03-26,Tuesday,72581.78,FALSE,11:40:00,15:25:00,175.0,73100CE,203.0,225.45,152.05,168.25,365.40000000000003,False,,32.21,72400PE,215.15,236.5,165.55,190.75,387.27000000000004,False,,21.71,,,,,,,False,,53.92,0.0,0.0,0.0,53.92
2024-04-03,Wednesday,73957.7,FALSE,11:40:00,15:25:00,175.0,74300CE,183.1,284.7,151.45,172.3,329.58,False,,8.51,73600PE,190.5,196.0,132.5,181.55,342.90000000000003,False,,6.57,,,,,,,False,,15.08,0.0,0.0,0.0,15.08
2024-04-09,Tuesday,75073.21,FALSE,11:40:00,15:25:00,187.5,75300CE,220.65,221.1,96.0,108.0,397.17,False,,109.89,74700PE,205.4,375.7,203.8,306.15,369.72,True,2024-04-09 14:15:00,-166.89,75300CE,102.35,136.5,97.0,108.0,153.52499999999998,False,,0.0,-166.89,115.541875,-5.65,-56.99812499999998
2024-04-16,Tuesday,73028.79,FALSE,11:40:00,15:25:00,175.0,73500CE,179.65,183.25,110.0,175.7,323.37,False,,1.7,72500PE,178.3,305.1,173.95,198.6,320.94000000000005,False,,-22.53,,,,,,,False,,-20.830000000000002,0.0,0.0,0.0,-20.830000000000002
2024-04-24,Wednesday,74051.18,FALSE,11:40:00,15:25:00,175.0,74300CE,192.1,196.05,117.6,157.35,345.78,False,,32.35,73700PE,176.95,248.3,174.2,211.35,318.51,False,,-36.61,,,,,,,False,,-4.259999999999998,0.0,0.0,0.0,-4.259999999999998
2024-04-30,Tuesday,74937.46,FALSE,11:40:00,15:25:00,175.0,75400CE,198.3,220.65,53.55,56.65,356.94000000000005,False,,139.17,74400PE,185.35,300.6,149.2,280.0,333.63,False,,-96.97,,,,,,,False,,42.19999999999999,0.0,0.0,0.0,42.19999999999999
2024-05-08,Wednesday,73362.57,FALSE,11:40:00,15:25:00,175.0,73900CE,193.15,348.0,178.0,213.4,347.67,True,2024-05-08 12:21:00,-156.93,72900PE,177.8,186.4,89.45,107.25,320.04,False,,68.33,72900PE,96.35,180.0,89.45,107.25,144.52499999999998,True,2024-05-08 13:37:00,0.0,-156.93,79.22750000000002,-48.17,-125.87249999999999
2024-05-15,Wednesday,72900.7,FALSE,11:40:00,15:25:00,175.0,73400CE,198.45,254.3,177.45,216.7,357.21,False,,-20.73,72500PE,210.05,215.35,122.0,135.0,378.09000000000003,False,,72.42,,,,,,,False,,51.69,0.0,0.0,0.0,51.69
2024-05-22,Wednesday,73990.74,FALSE,11:40:00,15:25:00,175.0,74500CE,203.2,270.8,172.3,239.85,365.76,False,,-39.19,73600PE,215.6,214.45,109.75,115.6,388.08,False,,97.3,,,,,,,False,,58.11,0.0,0.0,0.0,58.11
2024-05-29,Wednesday,74605.35,FALSE,11:40:00,15:25:00,175.0,75400CE,181.7,253.4,139.2,155.5,327.06,False,,23.93,74100PE,190.85,207.25,120.0,181.45,343.53,False,,7.01,,,,,,,False,,30.939999999999998,0.0,0.0,0.0,30.939999999999998
2024-06-05,Wednesday,73647.93,FALSE,11:40:00,15:25:00,175.0,75200CE,184.9,433.75,130.9,311.85,332.82,True,2024-06-05 14:47:00,-150.23,71700PE,182.25,316.25,59.45,72.75,328.05,False,,107.22,71700PE,74.45,95.0,59.45,72.75,111.67500000000001,False,,0.0,-150.23,105.521875,1.7,-43.00812499999999
2024-06-12,Wednesday,76866.0,FALSE,11:40:00,15:25:00,187.5,77400CE,195.4,236.75,123.85,145.75,351.72,False,,47.21,76300PE,205.75,262.0,179.6,262.0,370.35,False,,-58.82,,,,,,,False,,-11.61,0.0,0.0,0.0,-11.61
2024-06-19,Wednesday,77249.81,FALSE,11:40:00,15:25:00,187.5,77600CE,193.8,536.2,179.9,210.35,348.84000000000003,True,2024-06-19 14:32:00,-157.46,76700PE,189.15,186.5,78.0,156.15,340.47,False,,30.64,76700PE,83.5,172.8,82.6,156.15,125.25,True,2024-06-19 14:57:00,0.0,-157.46,103.28562500000001,-41.75,-95.924375
2024-06-26,Wednesday,78411.83,FALSE,11:40:00,15:25:00,187.5,78900CE,220.4,284.0,182.15,241.8,396.72,False,,-24.16,77900PE,214.4,222.8,139.8,152.75,385.92,False,,58.97,,,,,,,False,,34.81,0.0,0.0,0.0,34.81
2024-07-03,Wednesday,79878.48,FALSE,11:40:00,15:25:00,187.5,80200CE,209.35,248.75,192.0,241.45,376.83,False,,-34.72,79400PE,206.85,213.65,162.55,171.0,372.33,False,,33.26,,,,,,,False,,-1.4600000000000009,0.0,0.0,0.0,-1.4600000000000009
2024-07-10,Wednesday,79691.2,FALSE,11:40:00,15:25:00,187.5,80100CE,218.8,280.75,173.9,263.35,393.84000000000003,False,,-47.29,79400PE,232.0,268.0,123.2,146.9,417.6,False,,82.2,,,,,,,False,,34.910000000000004,0.0,0.0,0.0,34.910000000000004
2024-07-16,Tuesday,80870.44,FALSE,11:40:00,15:25:00,200.0,81300CE,205.0,207.75,125.35,134.5,369.0,False,,67.94,80400PE,222.3,259.5,191.65,220.85,400.14000000000004,False,,-1.33,,,,,,,False,,66.61,0.0,0.0,0.0,66.61
2024-07-24,Wednesday,80186.02,FALSE,11:40:00,15:25:00,200.0,80700CE,223.95,225.6,116.2,142.8,403.11,False,,78.35,79700PE,214.2,413.65,124.8,142.25,385.56,True,2024-07-24 12:20:00,-174.04,80700CE,147.95,197.7,116.2,142.8,221.92499999999998,False,,0.0,-174.04,73.200625,5.15,-95.68937499999998
2024-07-31,Wednesday,81661.55,FALSE,11:40:00,15:25:00,200.0,82100CE,211.0,248.9,185.5,237.95,379.8,False,,-29.59,81300PE,226.95,249.5,191.1,195.0,408.51,False,,29.11,,,,,,,False,,-0.4800000000000004,0.0,0.0,0.0,-0.4800000000000004
2024-08-07,Wednesday,79226.85,FALSE,11:40:00,15:25:00,187.5,80000CE,195.55,274.7,155.05,256.0,351.99,False,,-62.89,78400PE,194.85,214.6,99.2,112.6,350.73,False,,79.81,,,,,,,False,,16.92,0.0,0.0,0.0,16.92
2024-08-13,Tuesday,79532.81,FALSE,11:40:00,15:25:00,187.5,80100CE,207.55,216.1,85.7,106.65,373.59000000000003,False,,98.31,79000PE,206.5,461.75,196.0,417.35,371.7,True,2024-08-13 13:53:00,-167.78,80100CE,115.0,122.0,85.7,106.65,172.5,False,,0.0,-167.78,89.95562500000001,8.35,-69.474375
2024-08-21,Wednesday,80706.99,FALSE,11:40:00,15:25:00,200.0,81000CE,216.6,280.1,211.5,272.0,389.88,False,,-58.11,80500PE,227.5,237.6,145.0,153.9,409.5,False,,70.76,,,,,,,False,,12.650000000000006,0.0,0.0,0.0,12.650000000000006
2024-08-28,Wednesday,81973.92,FALSE,11:40:00,15:25:00,200.0,82200CE,238.8,261.25,113.3,120.05,429.84000000000003,False,,115.76,81800PE,222.7,305.85,208.3,290.05,400.86,False,,-70.13,,,,,,,False,,45.63000000000001,0.0,0.0,0.0,45.63000000000001
2024-09-04,Wednesday,82150.04,FALSE,11:40:00,15:25:00,200.0,82400CE,208.15,298.75,196.95,267.0,374.67,False,,-61.45,81900PE,222.75,232.9,163.35,180.75,400.95,False,,39.22,,,,,,,False,,-22.230000000000004,0.0,0.0,0.0,-22.230000000000004
2024-09-11,Wednesday,81967.28,FALSE,11:40:00,15:25:00,200.0,82100CE,227.05,311.0,106.35,122.75,408.69000000000005,False,,101.46,81700PE,216.2,510.35,163.35,418.1,389.15999999999997,True,2024-09-11 14:13:00,-175.66,82100CE,152.8,161.95,106.35,122.75,229.20000000000002,False,,0.0,-175.66,71.411875,30.05,-74.198125
2024-09-18,Wednesday,83269.23,FALSE,11:40:00,15:25:00,200.0,83700CE,232.15,252.25,136.7,194.1,417.87,False,,35.15,82700PE,222.0,522.3,192.5,394.75,399.6,True,2024-09-18 13:35:00,-180.38,83700CE,147.7,215.55,136.7,194.1,221.54999999999998,False,,0.0,-180.38,81.54812500000001,-46.4,-145.23187499999997
2024-09-25,Wednesday,84873.73,FALSE,11:40:00,15:25:00,200.0,85200CE,212.05,340.0,188.2,296.85,381.69000000000005,False,,-87.45,84500PE,227.15,281.3,137.55,141.4,408.87,False,,82.91,,,,,,,False,,-4.540000000000006,0.0,0.0,0.0,-4.540000000000006
2024-10-01,Tuesday,84211.1,FALSE,11:40:00,15:25:00,200.0,84800CE,202.9,298.65,158.1,205.05,365.22,False,,-4.69,83800PE,206.8,233.65,130.0,152.35,372.24,False,,51.87,,,,,,,False,,47.18,0.0,0.0,0.0,47.18
2024-10-09,Wednesday,82212.47,FALSE,11:40:00,15:25:00,200.0,82800CE,215.0,215.35,67.2,88.0,387.0,False,,124.31,81700PE,227.4,650.0,223.3,512.1,409.32,True,2024-10-09 13:20:00,-184.76,82800CE,116.25,144.0,67.2,88.0,174.375,False,,0.0,-184.76,96.0625,28.25,-60.44749999999999
2024-10-16,Wednesday,81466.48,FALSE,11:40:00,15:25:00,200.0,81800CE,225.2,425.35,207.3,240.35,405.36,True,2024-10-16 14:27:00,-182.98,81100PE,227.2,270.0,81.15,162.0,408.96,False,,62.36,81100PE,83.85,162.0,81.35,162.0,125.77499999999999,True,2024-10-16 14:49:00,0.0,-182.98,140.51,-41.92,-84.39
2024-10-23,Wednesday,80513.68,FALSE,11:40:00,15:25:00,200.0,81000CE,235.3,292.2,86.5,94.15,423.54,False,,138.21,80000PE,219.85,364.15,177.0,318.1,395.73,False,,-101.0,,,,,,,False,,37.21000000000001,0.0,0.0,0.0,37.21000000000001
2024-10-29,Tuesday,79704.92,FALSE,11:40:00,15:25:00,187.5,80200CE,204.75,480.95,187.85,434.65,368.55,True,2024-10-29 14:05:00,-166.36,79300PE,208.1,224.9,44.85,59.85,374.58,False,,145.65,79300PE,85.15,84.9,44.85,59.85,127.72500000000001,False,,0.0,-166.36,120.34875,25.3,-20.711250000000017
2024-11-06,Wednesday,80017.21,FALSE,11:40:00,15:25:00,200.0,80600CE,226.05,437.4,218.35,315.0,406.89000000000004,True,2024-11-06 14:22:00,-183.67,79400PE,215.45,213.25,78.4,100.05,387.81,False,,112.71,79400PE,82.3,125.5,78.4,100.05,123.44999999999999,True,2024-11-06 14:52:00,0.0,-183.67,130.45687499999997,-41.15,-94.36312500000003
2024-11-12,Tuesday,79490.4,FALSE,11:40:00,15:25:00,187.5,79900CE,196.2,207.9,64.55,70.25,353.15999999999997,False,,123.5,79100PE,190.55,602.85,171.65,599.0,342.99,True,2024-11-12 12:46:00,-154.82,79900CE,132.6,137.65,64.55,70.25,198.89999999999998,False,,0.0,-154.82,61.147499999999994,62.35,-31.322499999999998
2024-11-19,Tuesday,78430.81,FALSE,11:40:00,15:25:00,187.5,78900CE,194.75,210.0,45.65,56.5,350.55,False,,135.82,77900PE,183.15,756.8,176.05,700.0,329.67,True,2024-11-19 14:51:00,-148.81,78900CE,103.4,107.25,45.65,56.5,155.10000000000002,False,,0.0,-148.81,88.91562499999999,46.9,-12.994375000000012
2024-11-27,Wednesday,80040.55,FALSE,11:40:00,15:25:00,200.0,80400CE,203.9,488.1,186.45,315.05,367.02000000000004,True,2024-11-27 12:33:00,-165.67,79700PE,206.65,255.1,107.7,134.5,371.97,False,,69.57,79700PE,133.35,152.4,107.7,134.5,200.02499999999998,False,,0.0,-165.67,70.71687500000002,-1.15,-96.10312499999998
2024-12-04,Wednesday,81216.81,FALSE,11:40:00,15:25:00,200.0,82000CE,201.6,203.0,109.35,158.1,362.88,False,,40.98,80300PE,211.75,516.1,200.6,298.4,381.15000000000003,True,2024-12-04 11:56:00,-172.05,82000CE,129.25,196.65,109.35,158.1,193.875,True,2024-12-04 13:33:00,0.0,-172.05,69.83,-64.62,-166.84000000000003
2024-12-11,Wednesday,81727.02,FALSE,11:40:00,15:25:00,200.0,82200CE,228.6,231.5,128.0,144.4,411.48,False,,81.34,81400PE,226.55,294.5,221.15,244.75,407.79,False,,-21.03,,,,,,,False,,60.31,0.0,0.0,0.0,60.31
2024-12-18,Wednesday,80343.91,FALSE,11:40:00,15:25:00,200.0,81100CE,221.15,230.6,158.85,211.7,398.07,False,,6.69,79900PE,215.45,344.85,201.65,253.45,387.81,False,,-40.69,,,,,,,False,,-34.0,0.0,0.0,0.0,-34.0
2024-12-24,Tuesday,78778.79,FALSE,11:40:00,15:25:00,187.5,79500CE,190.95,192.6,93.45,98.5,343.71,False,,90.06,78300PE,191.35,294.25,164.65,206.1,344.43,False,,-17.14,,,,,,,False,,72.92,0.0,0.0,0.0,72.92
