Date,Day,Future,Expiry.Day,Time,Target,StrikeCE,CE Open,CE High,CE Low,CE Close,StrikePE,PE Open,PE High,PE Low,PE Close,PL0,PL0.CE,PL0.PE,Total PNL
2024-01-01,Monday,21825.95,FALSE,09:32:00,63.0,21850,64.95,159.15,48.0,49.4,21600,68.85,72.9,22.5,50.7,3.82,-13.64,17.46,3.82
2024-01-08,Monday,21776.35,FALSE,09:32:00,63.0,21800,65.15,69.95,19.2,19.5,21650,71.9,190.45,61.45,180.6,29.9,45.0,-15.1,29.9
2024-01-15,Monday,22081.8,FALSE,09:32:00,66.0,22150,82.25,101.75,54.3,93.5,21950,75.7,112.2,50.75,51.65,-33.17,-17.27,-15.9,-33.17
2024-01-20,Saturday,21708.85,FALSE,09:32:00,63.0,21850,78.1,79.5,38.2,47.85,21550,73.65,126.7,66.8,99.6,14.0,29.47,-15.47,14.0
2024-01-29,Monday,21677.0,FALSE,09:32:00,63.0,21900,69.4,129.45,68.85,121.3,21250,68.35,71.25,28.3,29.6,23.5,-14.57,38.07,23.5
2024-02-05,Monday,21938.7,FALSE,09:32:00,63.0,22100,67.1,104.9,28.85,32.5,21650,72.4,131.0,43.0,101.95,-29.29,-14.09,-15.2,-29.29
2024-02-12,Monday,21870.0,FALSE,09:32:00,63.0,22000,63.85,68.7,23.05,26.7,21600,68.65,161.4,64.35,120.95,22.09,36.51,-14.42,22.09
2024-02-19,Monday,22122.0,FALSE,09:32:00,66.0,22250,67.15,118.45,48.8,71.4,21850,66.7,87.55,35.75,48.35,-28.11,-14.1,-14.01,-28.11
2024-02-26,Monday,22195.75,FALSE,09:32:00,66.0,22350,74.3,87.95,45.1,49.9,22000,70.25,107.6,57.8,75.6,8.91,23.66,-14.75,8.91
2024-03-04,Monday,22501.85,FALSE,09:32:00,66.0,22550,75.05,81.1,48.2,55.25,22250,79.95,93.3,60.8,68.9,29.3,19.05,10.25,29.3
2024-03-11,Monday,22560.0,FALSE,09:32:00,66.0,22600,75.75,75.65,28.25,30.0,22350,69.85,130.6,69.6,114.95,30.32,44.99,-14.67,30.32
2024-03-18,Monday,22096.95,FALSE,09:32:00,66.0,22200,68.75,102.0,44.1,60.2,21850,72.0,107.0,31.25,46.0,-29.56,-14.44,-15.12,-29.56
2024-03-22,Friday,21978.5,FALSE,09:32:00,63.0,22150,64.45,189.95,59.75,119.95,21800,72.2,74.0,19.25,26.3,31.65,-13.53,45.18,31.65
2024-04-01,Monday,22620.0,FALSE,09:32:00,66.0,22650,72.55,81.8,35.9,41.8,22400,77.9,94.85,63.85,71.4,13.66,30.02,-16.36,13.66
2024-04-05,Friday,22547.85,FALSE,09:32:00,66.0,22600,80.8,93.85,68.25,87.2,22350,80.95,89.95,45.8,49.05,23.88,-7.21,31.09,23.88
2024-04-12,Friday,22753.45,FALSE,09:32:00,66.0,22800,83.45,90.0,31.7,34.0,22600,79.25,146.85,68.3,132.3,31.98,48.62,-16.64,31.98
2024-04-22,Monday,22231.2,FALSE,09:32:00,66.0,22350,77.2,125.5,64.1,124.1,22100,81.1,99.9,35.6,35.9,-33.24,-16.21,-17.03,-33.24
2024-04-26,Friday,22672.65,FALSE,09:32:00,66.0,22700,85.2,94.6,40.6,49.95,22500,92.7,150.45,83.5,123.55,14.93,34.4,-19.47,14.93
2024-05-06,Monday,22664.5,FALSE,09:32:00,66.0,22750,69.55,72.85,26.5,32.55,22450,70.9,146.0,68.3,112.3,21.41,36.3,-14.89,21.41
2024-05-13,Monday,22005.5,FALSE,09:32:00,66.0,22100,78.7,151.0,42.7,135.05,21750,84.9,114.2,19.45,19.55,-34.36,-16.53,-17.83,-34.36
2024-05-17,Friday,22430.8,FALSE,09:32:00,66.0,22550,78.35,111.65,66.0,91.35,22200,85.0,90.7,41.65,44.7,23.0,-16.45,39.45,23.0
2024-05-27,Monday,23024.35,FALSE,09:32:00,69.0,23150,88.4,152.0,45.1,67.4,22850,80.4,105.3,38.35,74.25,-35.44,-18.56,-16.88,-35.44
2024-06-03,Monday,23270.0,FALSE,09:32:00,69.0,24100,71.7,130.0,36.1,130.0,22250,72.25,76.4,51.35,60.25,-3.78,-15.06,11.28,-3.78
2024-06-10,Monday,23369.65,FALSE,09:32:00,69.0,23650,81.8,82.55,31.45,32.25,23050,84.0,132.55,62.35,109.2,31.09,48.73,-17.64,31.09
2024-06-14,Friday,23367.8,FALSE,09:32:00,69.0,23450,87.65,143.7,83.15,116.3,23250,92.75,97.9,43.25,46.4,27.01,-18.41,45.42,27.01
2024-06-24,Monday,23376.0,FALSE,09:32:00,69.0,23500,73.0,164.9,60.35,145.0,23250,75.75,89.9,31.3,31.7,27.96,-15.33,43.29,27.96
2024-07-01,Monday,24109.85,FALSE,09:32:00,72.0,24200,76.0,111.9,71.4,99.0,23900,79.8,83.1,40.55,45.85,17.19,-15.96,33.15,17.19
