Date,Day,Future,Expiry.Day,Time,Target,StrikeCE,CE Open,CE High,CE Low,CE Close,StrikePE,PE Open,PE High,PE Low,PE Close,PL0,PL1,PL0.CE,PL1.CE,PL0.PE,PL1.PE,Total PNL
2024-01-05,Friday,72051.57,TRUE,09:28:00,210.0,71900,242.6,257.4,21.35,125.75,72300,237.6,463.25,207.9,274.0,63.33,0.0,113.82,0.0,-50.49,0.0,63.33
2024-01-12,Friday,72031.59,TRUE,09:28:00,210.0,71800,244.8,835.6,222.3,769.5,72200,251.45,277.2,0.05,0.05,196.24,0.0,-52.02,0.0,248.26,0.0,196.24
2024-01-19,Friday,71840.99,TRUE,09:28:00,210.0,71800,211.7,223.15,0.05,0.05,72000,221.45,430.0,201.0,316.55,161.94,-35.99,209.0,0.0,-47.06,-35.99,125.94999999999999
2024-01-25,Thursday,70954.86,TRUE,09:28:00,210.0,71000,213.0,214.75,0.2,0.25,71000,235.6,759.2,203.85,310.2,160.03,0.0,210.09,0.0,-50.06,0.0,160.03
2024-02-02,Friday,72467.05,TRUE,09:28:00,210.0,72400,240.45,908.85,0.05,0.05,72600,218.95,1518.65,42.0,513.65,-97.63,-74.73,-51.1,-39.15,-46.53,-35.58,-172.36
2024-02-09,Friday,71594.8,TRUE,09:28:00,210.0,71700,216.6,237.15,0.05,0.1,71600,233.65,419.3,3.85,5.6,164.14,-37.97,213.79,0.0,-49.65,-37.97,126.16999999999999
2024-02-16,Friday,72311.7,TRUE,09:28:00,210.0,72300,226.6,500.0,102.65,125.6,72300,241.2,249.0,0.05,0.05,189.99,-36.82,-48.15,-36.82,238.14,0.0,153.17000000000002
2024-02-23,Friday,73224.3,TRUE,09:28:00,210.0,73200,240.0,300.0,0.05,0.05,73300,212.7,250.0,65.0,157.0,2.04,-39.0,-51.0,-39.0,53.04,0.0,-36.96
2024-03-01,Friday,72910.54,TRUE,09:28:00,210.0,73000,223.7,823.1,182.0,746.7,72900,243.35,260.0,0.05,0.15,192.62,-36.35,-47.54,-36.35,240.16,0.0,156.27
2024-03-07,Thursday,74113.68,TRUE,09:28:00,210.0,74000,252.65,335.0,67.0,119.05,74200,233.15,320.0,52.0,80.7,-103.23,264.61,-53.69,115.07,-49.54,149.54,161.38
2024-03-15,Friday,72949.51,TRUE,09:28:00,210.0,72900,243.45,275.7,0.05,0.05,73100,272.0,583.95,240.25,457.6,182.56,0.0,240.36,0.0,-57.8,0.0,182.56
2024-03-22,Friday,72215.83,TRUE,09:28:00,210.0,72200,259.5,1078.75,219.3,634.45,72300,246.0,284.25,0.05,0.1,187.68,-42.17,-55.14,-42.17,242.82,0.0,145.51
2024-03-28,Thursday,73303.61,TRUE,09:28:00,210.0,73200,264.3,1050.0,237.0,449.85,73500,240.0,263.05,0.05,0.1,180.74,0.0,-56.16,0.0,236.9,0.0,180.74
2024-04-05,Friday,74055.32,TRUE,09:28:00,210.0,74000,254.35,331.95,138.7,248.4,74100,250.45,298.7,0.05,0.05,193.22,-41.33,-54.05,-41.33,247.27,0.0,151.89
2024-04-12,Friday,74919.99,TRUE,09:28:00,210.0,74700,272.7,278.0,0.05,0.1,75000,246.4,1317.4,213.6,756.5,216.83,0.0,269.19,0.0,-52.36,0.0,216.83
2024-04-19,Friday,71961.28,TRUE,09:28:00,210.0,72200,226.85,931.65,141.7,885.75,71800,242.4,242.55,0.05,0.05,191.11,-36.86,-48.21,-36.86,239.32,0.0,154.25
2024-04-26,Friday,74450.94,TRUE,09:28:00,210.0,74300,254.35,264.25,0.05,0.1,74500,240.75,813.3,230.0,772.3,199.91,-39.12,251.07,0.0,-51.16,-39.12,160.79
2024-05-03,Friday,75063.07,TRUE,09:28:00,225.0,74900,285.0,333.3,0.1,0.1,75100,267.85,1690.0,212.0,1226.45,224.42,-43.53,281.34,0.0,-56.92,-43.53,180.89
2024-05-10,Friday,72603.6,TRUE,09:28:00,210.0,72600,264.7,470.0,13.65,63.4,72700,245.35,276.9,20.1,36.45,149.58,197.99,-56.25,197.99,205.83,0.0,347.57000000000005
2024-05-17,Friday,73493.5,TRUE,09:28:00,210.0,73400,240.05,651.85,201.95,514.45,73500,256.9,263.1,0.05,0.05,202.63,-39.01,-51.01,-39.01,253.64,0.0,163.62
2024-05-24,Friday,75537.21,TRUE,09:28:00,225.0,75500,235.75,249.0,0.05,0.05,75600,246.05,431.8,88.65,190.85,180.46,-39.98,232.75,0.0,-52.29,-39.98,140.48000000000002
2024-05-31,Friday,74434.57,TRUE,09:28:00,210.0,74600,240.2,243.75,0.05,0.05,74500,250.5,679.95,191.0,537.4,183.92,-40.71,237.15,0.0,-53.23,-40.71,143.20999999999998
2024-06-07,Friday,75340.32,TRUE,09:28:00,225.0,75700,238.55,1144.0,180.6,994.5,75100,240.05,237.4,0.05,0.05,186.31,-38.76,-50.69,-38.76,237.0,0.0,147.55
2024-06-14,Friday,76606.09,TRUE,09:28:00,225.0,76400,281.65,633.7,224.2,592.1,76700,268.75,297.0,0.05,0.05,205.49,0.0,-59.85,0.0,265.34,0.0,205.49
2024-06-21,Friday,77567.05,TRUE,09:28:00,225.0,77400,257.4,370.7,0.05,0.05,77600,252.85,891.75,153.35,387.0,-108.43,213.04,-54.7,254.13,-53.73,-41.09,104.60999999999999
2024-06-28,Friday,79498.31,TRUE,09:28:00,225.0,79500,226.0,300.0,0.05,0.05,79500,230.6,520.35,92.45,469.4,-97.02,-74.19,-48.02,-36.72,-49.0,-37.47,-171.20999999999998
2024-07-05,Friday,79574.57,TRUE,09:28:00,225.0,79400,254.5,620.0,179.6,599.45,79600,224.5,251.7,0.05,0.1,167.51,-41.36,-54.08,-41.36,221.59,0.0,126.14999999999999
2024-07-12,Friday,80173.15,TRUE,09:28:00,240.0,80100,277.3,1045.8,123.9,417.25,80400,290.45,663.25,0.05,0.05,-120.65,241.71,-58.93,-45.06,-61.72,286.77,121.06
2024-07-19,Friday,81331.77,TRUE,09:28:00,240.0,81300,260.45,261.25,0.05,0.1,81400,283.7,801.35,234.2,793.6,196.8,-46.1,257.09,0.0,-60.29,-46.1,150.70000000000002
2024-07-26,Friday,80253.73,TRUE,09:28:00,240.0,80100,299.25,1275.1,231.0,1227.15,80400,279.8,407.3,0.05,0.1,-123.05,276.2,-63.59,0.0,-59.46,276.2,153.14999999999998
2024-08-02,Friday,81335.01,TRUE,09:28:00,240.0,81200,290.15,293.55,0.05,0.05,81400,295.0,523.95,211.45,419.35,223.78,-47.94,286.47,0.0,-62.69,-47.94,175.84
2024-08-09,Friday,79783.2,TRUE,09:28:00,225.0,79700,263.85,400.45,6.15,7.7,79800,250.15,281.7,70.0,92.65,98.3,-42.88,-56.07,-42.88,154.37,0.0,55.419999999999995
