Date,Day,Future,Expiry.Day,Time,Target,StrikeCE,CE Open,CE High,CE Low,CE Close,StrikePE,PE Open,PE High,PE Low,PE Close,PL0,PL1,PL0.CE,PL1.CE,PL0.PE,PL1.PE,Total PNL
2024-01-02,Tuesday,21857.85,FALSE,09:48:00,84.0,21750,104.05,104.6,38.1,41.4,21800,113.75,251.45,113.05,179.9,49.1,0.0,61.61,0.0,-12.51,0.0,49.1
2024-01-09,Tuesday,21689.8,FALSE,09:48:00,84.0,21650,84.4,144.35,33.85,44.0,21650,94.2,154.6,48.9,130.95,-19.64,24.49,-9.28,39.56,-10.36,-15.07,4.849999999999998
2024-01-16,Tuesday,22110.4,FALSE,09:48:00,88.0,22100,101.9,113.35,42.9,56.1,22100,106.0,180.0,87.2,127.4,-22.87,27.82,-11.21,44.78,-11.66,-16.96,4.949999999999999
2024-01-23,Tuesday,21767.0,FALSE,09:48:00,84.0,21800,89.35,91.0,7.7,8.35,21750,95.45,608.05,92.45,549.5,69.61,0.0,80.11,0.0,-10.5,0.0,69.61
2024-01-30,Tuesday,21864.35,FALSE,09:48:00,84.0,22000,87.25,89.95,18.1,20.05,21550,87.55,169.5,75.5,142.45,56.7,-14.01,66.33,0.0,-9.63,-14.01,42.690000000000005
2024-02-06,Tuesday,21889.9,FALSE,09:48:00,84.0,21950,83.25,128.75,58.7,118.0,21700,89.35,104.7,39.75,41.0,-18.99,34.14,-9.16,-13.32,-9.83,47.46,15.150000000000002
2024-02-13,Tuesday,21686.0,FALSE,09:48:00,84.0,21700,94.0,159.7,80.25,136.05,21500,88.9,95.5,29.8,35.9,41.77,-15.04,-10.34,-15.04,52.11,0.0,26.730000000000004
2024-02-20,Tuesday,22131.15,FALSE,09:48:00,88.0,22150,94.95,144.9,73.8,138.25,22000,93.55,117.2,44.25,45.65,-20.73,31.77,-10.44,-15.19,-10.29,46.96,11.04
2024-02-27,Tuesday,22142.75,FALSE,09:48:00,88.0,22200,100.8,129.0,77.0,100.1,22050,91.4,104.5,44.75,53.8,-21.14,20.56,-11.09,-16.13,-10.05,36.69,-0.5800000000000018
2024-03-05,Tuesday,22456.3,FALSE,09:48:00,88.0,22400,88.65,114.4,43.25,69.6,22300,92.2,136.15,57.85,70.55,-19.89,3.41,-9.75,18.16,-10.14,-14.75,-16.48
2024-03-12,Tuesday,22498.75,FALSE,09:48:00,88.0,22450,103.75,120.55,55.35,64.95,22450,114.1,187.35,89.25,136.55,-23.96,19.5,-11.41,37.76,-12.55,-18.26,-4.460000000000001
2024-03-19,Tuesday,22032.9,FALSE,09:48:00,88.0,22000,106.05,109.3,37.0,39.7,21950,115.2,200.0,110.25,179.1,52.62,0.0,65.29,0.0,-12.67,0.0,52.62
2024-03-26,Tuesday,22077.7,FALSE,09:48:00,88.0,22100,98.3,126.15,80.15,89.95,22050,97.6,105.3,60.15,73.9,11.91,-15.73,-10.81,-15.73,22.72,0.0,-3.8200000000000003
2024-04-02,Tuesday,22564.95,FALSE,09:48:00,88.0,22450,96.45,102.1,67.15,87.8,22450,104.3,132.9,78.0,81.9,-3.78,-16.69,7.69,0.0,-11.47,-16.69,-20.470000000000002
2024-04-08,Monday,22690.5,FALSE,09:48:00,88.0,22650,88.45,130.45,73.8,107.0,22600,93.1,106.65,50.0,59.85,-19.97,18.17,-9.73,-14.15,-10.24,32.32,-1.7999999999999972
2024-04-15,Monday,22387.0,FALSE,09:48:00,88.0,22400,99.4,161.8,60.35,67.25,22300,103.95,107.8,51.3,93.75,-1.77,31.16,-10.93,31.16,9.16,0.0,29.39
2024-04-23,Tuesday,22359.9,FALSE,09:48:00,88.0,22350,111.15,134.4,91.1,92.6,22350,100.1,101.1,58.85,84.5,2.37,-17.78,-12.23,-17.78,14.6,0.0,-15.41
2024-04-29,Monday,22592.75,FALSE,09:48:00,88.0,22550,105.15,189.0,91.7,174.3,22500,102.8,119.65,42.25,46.5,-22.88,-16.45,-11.57,0.0,-11.31,-16.45,-39.33
2024-05-07,Tuesday,22553.6,FALSE,09:48:00,88.0,22500,108.75,108.6,29.9,41.25,22450,104.3,263.35,105.1,194.3,54.94,0.0,66.41,0.0,-11.47,0.0,54.94
2024-05-14,Tuesday,22203.6,FALSE,09:48:00,88.0,22150,104.65,184.0,81.0,142.25,22100,110.0,135.0,40.0,46.45,-23.61,-34.34,-11.51,-16.74,-12.1,-17.6,-57.95
2024-05-21,Tuesday,22536.25,FALSE,09:48:00,88.0,22500,110.05,172.95,90.2,118.45,22450,101.35,117.35,48.8,68.9,-23.26,13.83,-12.11,-17.61,-11.15,31.44,-9.430000000000001
2024-05-28,Tuesday,23005.05,FALSE,09:48:00,92.0,23050,104.1,117.0,54.8,58.0,22950,104.7,140.0,88.0,119.6,-22.97,28.31,-11.45,45.06,-11.52,-16.75,5.34
2024-06-04,Tuesday,22888.0,FALSE,09:48:00,88.0,24100,92.0,92.75,20.2,23.4,21650,91.3,702.85,54.2,186.95,57.64,-14.61,67.68,0.0,-10.04,-14.61,43.03
2024-06-11,Tuesday,23283.0,FALSE,09:48:00,92.0,23350,101.25,167.8,70.3,75.25,23150,100.0,102.9,40.6,68.15,19.71,-16.2,-11.14,-16.2,30.85,0.0,3.5100000000000016
2024-06-18,Tuesday,23595.0,FALSE,09:48:00,92.0,23550,118.6,127.0,77.4,92.6,23650,127.4,160.95,113.85,135.05,10.8,-20.38,24.81,0.0,-14.01,-20.38,-9.579999999999998
2024-06-25,Tuesday,23614.8,FALSE,09:48:00,92.0,23600,113.05,198.75,89.4,186.65,23650,122.15,147.2,62.85,65.1,-25.88,-19.54,-12.44,0.0,-13.44,-19.54,-45.42
2024-07-02,Tuesday,24173.35,FALSE,09:48:00,96.0,24150,107.3,154.25,73.4,100.95,24100,116.3,135.0,60.25,82.8,-24.59,37.62,-11.8,5.28,-12.79,32.34,13.029999999999998
2024-07-09,Tuesday,24419.95,FALSE,09:48:00,96.0,24350,112.85,168.6,104.4,140.6,24400,104.1,109.6,55.05,64.75,25.9,-18.06,-12.41,-18.06,38.31,0.0,7.84
2024-07-15,Monday,24557.9,FALSE,09:48:00,96.0,24550,108.95,153.5,100.05,132.1,24550,110.4,118.7,66.15,74.3,23.02,-17.43,-11.98,-17.43,35.0,0.0,5.59
2024-07-23,Tuesday,24496.5,FALSE,09:48:00,96.0,24800,101.8,125.0,17.25,22.15,24150,101.2,225.0,18.0,26.2,-22.33,62.44,-11.2,78.63,-11.13,-16.19,40.11
2024-07-30,Tuesday,24893.3,FALSE,09:48:00,96.0,24850,107.4,179.45,102.5,109.95,24850,113.2,114.3,49.65,80.75,19.51,-17.18,-11.81,-17.18,31.32,0.0,2.330000000000002
2024-08-06,Tuesday,24343.05,FALSE,09:48:00,96.0,24400,106.45,123.55,18.85,24.45,24200,98.55,293.8,82.75,230.55,-22.55,65.17,-11.71,80.94,-10.84,-15.77,42.620000000000005
2024-08-12,Monday,24307.25,FALSE,09:48:00,96.0,24350,99.4,226.0,84.45,112.35,24200,107.7,127.0,38.9,63.7,-22.78,27.02,-10.93,-15.9,-11.85,42.92,4.239999999999998
2024-08-20,Tuesday,24705.05,FALSE,09:48:00,96.0,24650,118.55,162.0,101.25,107.75,24750,122.8,134.65,91.2,117.75,-9.22,-18.97,-13.04,-18.97,3.82,0.0,-28.189999999999998
2024-08-27,Tuesday,25005.75,FALSE,09:48:00,100.0,24950,124.5,180.95,114.35,116.7,25050,118.2,119.35,65.45,97.65,5.67,-19.92,-13.7,-19.92,19.37,0.0,-14.250000000000002
2024-09-03,Tuesday,25348.95,FALSE,09:48:00,100.0,25250,109.5,138.0,97.45,101.0,25300,105.85,117.9,79.45,96.55,-23.69,15.65,-12.05,7.41,-11.64,8.24,-8.040000000000001
2024-09-10,Tuesday,24972.45,FALSE,09:48:00,96.0,24900,111.15,248.2,87.3,175.9,24950,117.0,152.1,30.6,42.5,-25.1,73.33,-12.23,0.0,-12.87,73.33,48.23
2024-09-17,Tuesday,25427.8,FALSE,09:48:00,100.0,25400,100.85,128.75,82.3,107.2,25400,108.8,134.95,77.65,92.55,-23.06,-0.98,-11.09,-16.14,-11.97,15.16,-24.04
2024-09-24,Tuesday,25965.0,FALSE,09:48:00,100.0,25950,121.2,139.9,81.5,92.85,25950,110.2,123.0,76.65,100.45,-25.45,-10.74,-13.33,-19.39,-12.12,8.65,-36.19
2024-09-30,Monday,26158.45,FALSE,09:48:00,104.0,26050,109.15,118.4,41.15,45.8,26000,114.15,252.65,100.65,208.7,49.7,-18.26,62.26,0.0,-12.56,-18.26,31.44
2024-10-08,Tuesday,25037.9,FALSE,09:48:00,100.0,25000,113.95,166.0,78.6,134.2,24750,118.85,148.8,45.55,53.3,-25.6,46.13,-12.53,-18.23,-13.07,64.36,20.53
2024-10-15,Tuesday,25236.0,FALSE,09:48:00,100.0,25150,103.35,104.6,40.2,53.9,25150,104.8,214.35,102.65,152.0,36.89,0.0,48.42,0.0,-11.53,0.0,36.89
2024-10-22,Tuesday,24902.1,FALSE,09:48:00,96.0,24850,114.15,129.0,15.1,16.75,24900,125.65,452.55,106.5,425.2,-26.38,76.16,-12.56,96.26,-13.82,-20.1,49.78
2024-10-29,Tuesday,24217.0,FALSE,09:48:00,96.0,24250,108.2,272.0,83.7,246.85,24200,118.0,144.8,18.2,23.3,-24.88,-36.19,-11.9,-17.31,-12.98,-18.88,-61.06999999999999
2024-11-05,Tuesday,24084.9,FALSE,09:48:00,96.0,24150,99.2,192.1,74.0,170.1,23700,94.45,129.7,30.35,38.7,-21.3,-30.98,-10.91,-15.87,-10.39,-15.11,-52.28
2024-11-12,Tuesday,24205.0,FALSE,09:48:00,96.0,24150,107.95,166.8,27.8,28.4,24100,103.0,261.45,53.6,257.0,-23.2,-33.75,-11.87,-17.27,-11.33,-16.48,-56.95
2024-11-18,Monday,23454.0,FALSE,09:48:00,92.0,23500,94.85,182.35,69.0,99.25,23300,96.3,123.45,37.05,60.1,-21.02,20.06,-10.43,-15.18,-10.59,35.24,-0.9600000000000009
2024-11-26,Tuesday,24246.0,FALSE,09:48:00,96.0,24300,107.6,115.95,52.6,69.1,24200,111.05,157.95,76.0,103.1,25.2,-17.77,37.42,0.0,-12.22,-17.77,7.43
2024-12-03,Tuesday,24440.7,FALSE,09:48:00,96.0,24400,117.15,184.8,111.4,149.45,24250,119.45,121.7,56.0,74.65,30.72,0.0,-12.89,0.0,43.61,0.0,30.72
2024-12-10,Tuesday,24735.45,FALSE,09:48:00,96.0,24700,106.95,121.0,55.55,74.25,24600,109.7,185.9,96.0,118.75,-23.83,14.08,-11.76,31.63,-12.07,-17.55,-9.749999999999998
2024-12-17,Tuesday,24599.9,FALSE,09:48:00,96.0,24650,103.45,108.7,33.65,38.2,24450,112.05,208.55,111.3,166.2,51.89,0.0,64.22,0.0,-12.33,0.0,51.89
2024-12-23,Monday,23769.45,FALSE,09:48:00,92.0,23800,111.35,171.1,53.55,84.4,23750,113.1,158.0,49.4,89.5,-24.69,-35.92,-12.25,-17.82,-12.44,-18.1,-60.61
