Date,Day,Future,Expiry.Day,Time,Target,StrikeCE,CE Open,CE High,CE Low,CE Close,StrikePE,PE Open,PE High,PE Low,PE Close,PL0,PL0.CE,PL0.PE,Total PNL
2024-01-02,Tuesday,72171.98,FALSE,09:30:00,280.0,72500,291.5,317.5,134.05,142.0,72000,293.65,651.45,262.5,430.25,98.14,145.86,-47.72,98.14
2024-01-09,Tuesday,71830.43,FALSE,09:30:00,280.0,72000,302.0,419.5,105.0,145.5,71800,308.35,617.25,220.55,542.75,-99.18,-49.07,-50.11,-99.18
2024-01-16,Tuesday,73217.05,FALSE,09:30:00,280.0,73500,291.55,380.0,169.55,212.6,72800,288.85,375.3,208.35,262.6,-94.32,-47.38,-46.94,-94.32
2024-01-20,Saturday,71771.21,FALSE,09:30:00,280.0,72400,298.95,319.15,139.15,171.95,71400,298.45,450.0,238.8,354.55,74.76,123.26,-48.5,74.76
2024-01-30,Tuesday,71887.73,FALSE,09:30:00,280.0,73100,289.2,321.3,97.15,112.9,70700,293.05,413.0,234.0,368.1,125.06,172.68,-47.62,125.06
2024-02-06,Tuesday,71838.76,FALSE,09:30:00,280.0,72600,284.35,408.05,240.85,360.0,71000,295.25,311.95,157.45,162.75,82.6,-46.21,128.81,82.6
2024-02-13,Tuesday,71006.0,FALSE,09:30:00,280.0,71800,303.95,447.05,263.0,380.4,70300,289.0,317.2,101.75,119.15,116.85,-49.39,166.24,116.85
2024-02-20,Tuesday,72608.62,FALSE,09:30:00,280.0,73100,296.7,455.9,277.0,439.6,72000,305.6,338.7,158.95,163.55,90.02,-48.21,138.23,90.02
2024-02-27,Tuesday,72770.01,FALSE,09:30:00,280.0,73500,288.2,384.8,247.5,307.95,72200,287.9,298.2,172.8,182.95,54.52,-46.83,101.35,54.52
2024-03-04,Monday,73842.67,FALSE,09:30:00,280.0,74400,299.75,310.75,182.6,202.4,73300,287.0,321.05,211.65,229.1,147.91,93.6,54.31,147.91
2024-03-12,Tuesday,73559.53,FALSE,09:30:00,280.0,74000,287.05,464.95,221.4,332.85,73300,289.9,370.95,160.15,241.9,-93.76,-46.65,-47.11,-93.76
2024-03-19,Tuesday,72328.18,FALSE,09:30:00,280.0,72900,287.85,317.4,134.1,141.1,72000,294.45,417.9,229.7,370.85,95.3,143.15,-47.85,95.3
2024-04-02,Tuesday,73938.46,FALSE,09:30:00,280.0,74200,314.0,396.2,232.0,292.2,73800,326.4,387.55,260.0,268.4,-104.06,-51.02,-53.04,-104.06
2024-04-08,Monday,74560.31,FALSE,09:30:00,280.0,74900,284.4,394.25,274.2,330.45,74000,279.6,280.55,162.0,188.1,41.8,-46.21,88.01,41.8
2024-04-15,Monday,73621.64,FALSE,09:30:00,280.0,74200,316.45,369.35,165.95,172.7,73000,322.0,365.5,175.0,271.0,-4.44,-51.42,46.98,-4.44
2024-04-23,Tuesday,73896.54,FALSE,09:30:00,280.0,74000,325.0,337.0,259.6,272.4,73700,324.65,387.7,288.8,360.0,-4.22,48.54,-52.76,-4.22
2024-04-29,Monday,74137.62,FALSE,09:30:00,280.0,74600,319.1,520.0,267.3,446.4,74000,315.3,379.0,188.4,205.75,-103.09,-51.85,-51.24,-103.09
2024-05-07,Tuesday,73984.48,FALSE,09:30:00,280.0,74400,291.65,292.8,119.2,164.45,73700,302.95,679.45,301.3,515.15,74.32,123.55,-49.23,74.32
2024-05-14,Tuesday,72823.92,FALSE,09:30:00,280.0,73300,294.45,453.55,235.0,348.0,72500,304.85,349.2,147.45,167.9,85.29,-47.85,133.14,85.29
2024-05-21,Tuesday,73898.87,FALSE,09:30:00,280.0,74400,313.1,377.0,253.15,282.45,73500,299.2,318.15,154.45,214.5,30.08,-50.88,80.96,30.08
2024-05-28,Tuesday,75504.88,FALSE,09:30:00,300.0,76000,300.35,326.4,193.7,207.0,75200,314.15,417.6,291.0,363.45,38.55,89.6,-51.05,38.55
