Date,Day,Expiry.Day,Strike.Time,Target,CE.Strike,CE.Open,CE.Entry,Entry.Flag,Entry.Time,CE.High,CE.Low,CE.Exit,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.Entry,PE.Entry.Flag,PE.Entry.Time,PE.High,PE.Low,PE.Exit,PE.SL.Flag,PE.SL.Time,PE.PNL,Total PNL
2024-01-04,Thursday,TRUE,09:34:00,84.0,21500CE,106.65,95.98500000000001,False,,,,,,,0.0,21700PE,109.25,98.325,True,2024-01-04 09:37:00,115.35,41.0,41.1,False,,56.24,56.24
2024-01-11,Thursday,TRUE,09:34:00,84.0,21600CE,108.45,97.605,True,2024-01-11 09:37:00,105.45,15.8,45.1,False,,51.53,21800PE,110.6,99.53999999999999,False,,,,,,,0.0,51.53
2024-01-18,Thursday,TRUE,09:34:00,84.0,21300CE,127.3,114.57,True,2024-01-18 09:36:00,229.25,54.6,161.8,True,2024-01-18 10:09:00,-24.06,21500PE,111.95,100.75500000000001,True,2024-01-18 10:09:00,150.9,20.7,37.75,True,2024-01-18 10:11:00,-21.16,-45.22
2024-01-25,Thursday,TRUE,09:34:00,84.0,21350CE,93.95,84.555,True,2024-01-25 09:44:00,94.5,0.25,1.45,False,,82.26,21450PE,93.1,83.78999999999999,True,2024-01-25 09:38:00,216.6,75.65,99.15,True,2024-01-25 09:44:00,-17.6,64.66
2024-02-01,Thursday,TRUE,09:34:00,84.0,21750CE,92.6,83.34,True,2024-02-01 09:36:00,144.55,0.05,0.05,True,2024-02-01 10:08:00,-17.5,21700PE,86.6,77.94,True,2024-02-01 09:45:00,133.9,1.55,2.7,True,2024-02-01 11:16:00,-16.37,-33.870000000000005
2024-02-08,Thursday,TRUE,09:34:00,88.0,21900CE,122.9,110.61000000000001,True,2024-02-08 09:39:00,116.2,0.05,0.1,False,,109.4,22100PE,123.6,111.24,False,,,,,,,0.0,109.4
2024-02-15,Thursday,TRUE,09:34:00,84.0,21800CE,88.5,79.65,True,2024-02-15 09:39:00,168.8,55.05,110.4,True,2024-02-15 09:48:00,-16.73,21900PE,91.75,82.575,True,2024-02-15 09:37:00,127.6,0.05,0.05,True,2024-02-15 09:39:00,-17.34,-34.07
2024-02-22,Thursday,TRUE,09:34:00,88.0,21900CE,97.95,88.155,True,2024-02-22 09:59:00,329.0,34.8,317.5,True,2024-02-22 13:41:00,-18.51,22000PE,97.2,87.48,True,2024-02-22 09:35:00,172.15,0.05,0.05,True,2024-02-22 09:59:00,-18.37,-36.88
2024-02-29,Thursday,TRUE,09:34:00,84.0,21950CE,84.85,76.365,True,2024-02-29 09:37:00,120.0,2.5,34.2,True,2024-02-29 09:55:00,-16.04,22000PE,87.4,78.66000000000001,True,2024-02-29 09:54:00,189.85,13.65,16.05,True,2024-02-29 10:08:00,-16.52,-32.56
2024-03-07,Thursday,TRUE,09:34:00,88.0,22400CE,112.4,101.16000000000001,True,2024-03-07 09:37:00,143.65,63.05,93.45,True,2024-03-07 10:05:00,-21.24,22600PE,120.35,108.315,True,2024-03-07 10:04:00,165.0,77.2,106.35,True,2024-03-07 10:44:00,-22.75,-43.989999999999995
2024-03-14,Thursday,TRUE,09:34:00,88.0,21950CE,122.6,110.34,True,2024-03-14 09:36:00,279.65,75.95,196.25,True,2024-03-14 10:34:00,-23.17,22100PE,111.0,99.9,True,2024-03-14 09:57:00,129.45,0.05,0.05,True,2024-03-14 10:10:00,-20.98,-44.150000000000006
2024-03-21,Thursday,TRUE,09:34:00,88.0,21900CE,96.65,86.98500000000001,True,2024-03-21 12:09:00,124.8,60.15,112.25,True,2024-03-21 12:38:00,-18.27,22050PE,99.6,89.64,True,2024-03-21 09:35:00,120.15,20.85,37.6,True,2024-03-21 12:10:00,-18.82,-37.09
2024-03-28,Thursday,TRUE,09:34:00,88.0,22150CE,109.05,98.145,False,,,,,,,0.0,22350PE,120.4,108.36000000000001,True,2024-03-28 09:42:00,105.25,1.2,23.25,False,,84.03,84.03
2024-04-04,Thursday,TRUE,09:34:00,88.0,22400CE,105.3,94.77,True,2024-04-04 09:35:00,195.35,22.1,114.45,True,2024-04-04 13:22:00,-19.9,22550PE,108.95,98.055,True,2024-04-04 09:40:00,285.3,15.2,35.5,True,2024-04-04 09:44:00,-20.59,-40.489999999999995
2024-04-10,Wednesday,TRUE,09:34:00,88.0,22600CE,125.45,112.905,True,2024-04-10 09:53:00,164.8,90.0,153.75,True,2024-04-10 11:05:00,-23.71,22800PE,110.55,99.495,True,2024-04-10 09:50:00,135.2,36.2,46.25,True,2024-04-10 09:53:00,-20.89,-44.6
2024-04-18,Thursday,TRUE,09:34:00,88.0,22150CE,92.95,83.655,True,2024-04-18 09:39:00,174.0,0.05,0.1,True,2024-04-18 11:05:00,-17.57,22300PE,99.05,89.145,True,2024-04-18 11:05:00,392.25,29.15,305.25,True,2024-04-18 13:26:00,-18.72,-36.29
2024-04-25,Thursday,TRUE,09:34:00,88.0,22300CE,99.4,89.46000000000001,True,2024-04-25 10:54:00,351.0,90.45,272.65,True,2024-04-25 11:00:00,-18.79,22450PE,108.0,97.2,True,2024-04-25 09:35:00,167.7,0.1,0.3,True,2024-04-25 10:51:00,-20.41,-39.2
2024-05-02,Thursday,TRUE,09:34:00,88.0,22550CE,131.5,118.35000000000001,True,2024-05-02 09:36:00,200.25,96.05,98.55,True,2024-05-02 09:41:00,-24.85,22750PE,115.45,103.905,True,2024-05-02 09:37:00,131.0,44.4,101.3,True,2024-05-02 09:51:00,-21.82,-46.67
2024-05-09,Thursday,TRUE,09:34:00,88.0,22200CE,95.35,85.815,True,2024-05-09 09:38:00,89.15,0.05,0.05,False,,84.91,22300PE,101.55,91.395,True,2024-05-09 09:37:00,352.7,89.35,342.8,True,2024-05-09 09:38:00,-19.19,65.72
2024-05-16,Thursday,TRUE,09:34:00,88.0,22200CE,93.8,84.42,True,2024-05-16 09:42:00,218.9,3.15,204.25,True,2024-05-16 12:14:00,-17.73,22300PE,95.0,85.5,True,2024-05-16 12:11:00,264.0,0.05,0.1,True,2024-05-16 12:26:00,-17.95,-35.68
2024-05-23,Thursday,TRUE,09:34:00,88.0,22550CE,124.45,112.00500000000001,False,,,,,,,0.0,22700PE,108.9,98.01,True,2024-05-23 09:35:00,98.5,0.05,0.05,False,,96.98,96.98
2024-05-30,Thursday,TRUE,09:34:00,88.0,22600CE,90.2,81.18,True,2024-05-30 09:37:00,83.15,0.05,0.05,False,,80.32,22650PE,101.0,90.9,True,2024-05-30 10:36:00,238.5,67.15,160.3,True,2024-05-30 10:39:00,-19.09,61.22999999999999
2024-06-06,Thursday,TRUE,09:34:00,88.0,22750CE,115.5,103.95,True,2024-06-06 09:38:00,172.0,7.65,71.35,True,2024-06-06 10:18:00,-21.83,22750PE,112.0,100.8,True,2024-06-06 10:02:00,160.55,0.05,0.05,True,2024-06-06 11:47:00,-21.17,-43.0
2024-06-13,Thursday,TRUE,09:34:00,92.0,23350CE,95.35,85.815,True,2024-06-13 09:36:00,89.6,27.1,48.95,False,,36.01,23500PE,113.75,102.375,True,2024-06-13 11:53:00,139.7,88.2,100.6,True,2024-06-13 14:16:00,-21.5,14.509999999999998
2024-06-20,Thursday,TRUE,09:34:00,92.0,23450CE,94.75,85.275,True,2024-06-20 09:37:00,182.85,55.5,116.8,True,2024-06-20 09:41:00,-17.91,23550PE,104.85,94.365,True,2024-06-20 09:59:00,126.75,0.05,0.05,True,2024-06-20 10:00:00,-19.82,-37.730000000000004
2024-06-27,Thursday,TRUE,09:34:00,92.0,23750CE,94.9,85.41000000000001,False,,,,,,,0.0,23850PE,95.75,86.175,True,2024-06-27 09:38:00,78.3,0.05,0.1,False,,85.21,85.21
2024-07-04,Thursday,TRUE,09:34:00,96.0,24300CE,94.65,85.185,True,2024-07-04 09:39:00,129.0,0.4,2.1,True,2024-07-04 09:44:00,-17.89,24450PE,100.45,90.405,True,2024-07-04 09:43:00,158.75,63.15,147.85,True,2024-07-04 10:23:00,-18.99,-36.879999999999995
2024-07-11,Thursday,TRUE,09:34:00,96.0,24200CE,122.3,110.07,True,2024-07-11 10:13:00,143.0,29.55,116.1,True,2024-07-11 14:57:00,-23.11,24400PE,109.55,98.595,True,2024-07-11 09:41:00,240.0,58.0,83.75,True,2024-07-11 10:13:00,-20.7,-43.81
2024-07-18,Thursday,TRUE,09:34:00,96.0,24450CE,108.9,98.01,True,2024-07-18 11:15:00,402.45,87.1,351.05,True,2024-07-18 11:25:00,-20.58,24650PE,121.35,109.215,True,2024-07-18 09:41:00,158.65,0.05,0.1,True,2024-07-18 11:14:00,-22.94,-43.519999999999996
2024-07-25,Thursday,TRUE,09:34:00,96.0,24150CE,123.85,111.465,True,2024-07-25 09:35:00,273.05,112.0,256.0,True,2024-07-25 09:38:00,-23.41,24350PE,124.55,112.095,True,2024-07-25 09:38:00,138.05,0.05,0.05,True,2024-07-25 09:46:00,-23.54,-46.95
