Date,Day,Expiry.Day,Strike.Time,Target,CE.Strike,CE.Open,CE.Entry,Entry.Flag,Entry.Time,CE.High,CE.Low,CE.Exit,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.Entry,PE.Entry.Flag,PE.Entry.Time,PE.High,PE.Low,PE.Exit,PE.SL.Flag,PE.SL.Time,PE.PNL,Total PNL
2024-01-03,Wednesday,FALSE,09:30:00,280.0,71800CE,322.75,290.475,True,2024-01-03 09:37:00,290.65,103.25,113.9,False,,172.94,71600PE,305.45,274.905,True,2024-01-03 11:47:00,446.85,249.9,398.45,True,2024-01-03 12:21:00,-58.42,114.52
2024-01-10,Wednesday,FALSE,09:30:00,280.0,71300CE,326.6,293.94000000000005,True,2024-01-10 12:45:00,671.0,278.5,599.25,True,2024-01-10 12:48:00,-62.46,71200PE,340.2,306.18,True,2024-01-10 09:33:00,375.0,77.35,82.65,True,2024-01-10 12:45:00,-65.06,-127.52000000000001
2024-01-17,Wednesday,FALSE,09:30:00,280.0,72500CE,299.45,269.505,True,2024-01-17 10:23:00,285.0,88.85,103.15,False,,162.99,72000PE,311.1,279.99,True,2024-01-17 09:32:00,774.85,210.05,724.65,True,2024-01-17 10:43:00,-59.5,103.49000000000001
2024-01-23,Tuesday,FALSE,09:30:00,280.0,72200CE,281.95,253.755,True,2024-01-23 09:56:00,246.7,35.7,42.4,False,,208.18,71900PE,303.7,273.33,False,,,,,,,0.0,208.18
2024-01-31,Wednesday,FALSE,09:30:00,280.0,72200CE,281.0,252.9,True,2024-01-31 09:32:00,477.9,257.6,444.2,True,2024-01-31 09:34:00,-53.74,70200PE,280.6,252.54000000000002,True,2024-01-31 09:35:00,255.45,107.05,135.3,False,,114.08,60.339999999999996
2024-02-07,Wednesday,FALSE,09:30:00,280.0,72900CE,289.45,260.505,True,2024-02-07 09:44:00,292.0,142.2,167.8,False,,89.45,71800PE,287.5,258.75,True,2024-02-07 09:37:00,421.9,214.15,247.4,True,2024-02-07 09:44:00,-54.98,34.470000000000006
2024-02-14,Wednesday,FALSE,09:30:00,280.0,71300CE,290.35,261.31500000000005,False,,,,,,,0.0,70400PE,279.65,251.68499999999997,True,2024-02-14 09:36:00,258.15,47.4,47.45,False,,201.09,201.09
2024-02-21,Wednesday,FALSE,09:30:00,280.0,73300CE,323.2,290.88,True,2024-02-21 10:13:00,325.1,99.6,103.7,False,,183.54,72700PE,316.0,284.40000000000003,True,2024-02-21 09:36:00,553.75,195.2,501.5,True,2024-02-21 10:45:00,-60.44,123.1
2024-02-28,Wednesday,FALSE,09:30:00,280.0,73400CE,315.9,284.31,True,2024-02-28 10:00:00,344.65,88.0,93.15,True,2024-02-28 10:08:00,-60.42,72800PE,319.3,287.37,True,2024-02-28 10:05:00,769.4,256.95,731.45,True,2024-02-28 10:51:00,-61.07,-121.49000000000001
2024-03-05,Tuesday,FALSE,09:30:00,280.0,73900CE,320.1,288.09000000000003,True,2024-03-05 09:56:00,382.2,161.2,216.9,True,2024-03-05 13:00:00,-61.22,73500PE,310.65,279.585,True,2024-03-05 12:50:00,291.55,194.4,258.0,False,,18.09,-43.129999999999995
2024-03-13,Wednesday,FALSE,09:30:00,280.0,74100CE,284.0,255.6,True,2024-03-13 09:51:00,300.0,39.1,41.65,False,,210.76,73600PE,297.65,267.885,False,,,,,,,0.0,210.76
2024-03-20,Wednesday,FALSE,09:30:00,280.0,72500CE,296.85,267.165,True,2024-03-20 09:54:00,347.4,133.0,234.0,True,2024-03-20 13:10:00,-56.77,72000PE,280.15,252.135,True,2024-03-20 09:36:00,520.0,177.0,268.0,True,2024-03-20 09:59:00,-53.58,-110.35
2024-03-26,Tuesday,FALSE,09:30:00,280.0,72900CE,327.7,294.93,True,2024-03-26 09:38:00,344.9,227.45,252.85,False,,38.39,72600PE,313.65,282.28499999999997,True,2024-03-26 10:29:00,320.0,224.0,258.1,False,,20.66,59.05
2024-04-03,Wednesday,FALSE,09:30:00,280.0,73700CE,292.6,263.34000000000003,False,,,,,,,0.0,73500PE,276.85,249.16500000000002,True,2024-04-03 09:42:00,281.5,111.2,150.05,False,,96.0,96.0
2024-04-09,Tuesday,FALSE,09:30:00,280.0,75000CE,317.25,285.52500000000003,True,2024-04-09 12:31:00,305.15,186.0,209.0,False,,72.96,74700PE,299.55,269.595,True,2024-04-09 09:43:00,375.7,192.65,306.15,True,2024-04-09 13:56:00,-57.29,15.669999999999995
2024-04-16,Tuesday,FALSE,09:30:00,280.0,73300CE,295.8,266.22,True,2024-04-16 10:22:00,290.2,161.25,250.0,False,,12.89,72800PE,302.8,272.52000000000004,True,2024-04-16 09:34:00,430.1,239.85,292.0,True,2024-04-16 12:41:00,-57.91,-45.019999999999996
2024-04-24,Wednesday,FALSE,09:30:00,280.0,73900CE,324.15,291.735,True,2024-04-24 14:33:00,343.35,265.45,335.4,False,,-47.31,73900PE,336.4,302.76,True,2024-04-24 09:47:00,341.7,236.9,290.1,False,,8.88,-38.43
2024-04-30,Tuesday,FALSE,09:30:00,280.0,74900CE,323.2,290.88,True,2024-04-30 14:51:00,332.3,180.55,199.55,False,,87.69,74700PE,340.6,306.54,True,2024-04-30 09:49:00,443.15,227.5,401.15,True,2024-04-30 15:00:00,-65.14,22.549999999999997
