Date,Day,Future,Expiry.Day,Start.Time,End.Time,Target,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Price,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Price,PE.SL.Flag,PE.SL.Time,PE.PNL,UT.Strike,UT.Open,UT.High,UT.Low,UT.Close,UT.SL.Price,UT.SL.Flag,UT.SL.Time,BPL,TT PL at SL,UT PL at SL,UT PL,Total PNL
2024-01-03,Wednesday,21705.45,FALSE,09:33:00,13:00:00,84.0,21600CE,89.0,88.75,37.35,54.05,111.25,False,,34.06,21650PE,94.75,154.65,81.0,103.5,118.4375,True,2024-01-03 09:40:00,-24.64,21600CE,70.9,79.7,37.35,54.05,106.35000000000001,False,,0.0,-24.64,17.209999999999994,16.85,9.419999999999995
2024-01-10,Wednesday,21564.85,FALSE,09:33:00,13:00:00,84.0,21450CE,110.3,162.5,82.9,93.5,137.875,True,2024-01-10 09:43:00,-28.68,21550PE,106.75,129.55,65.0,107.1,133.4375,False,,-1.42,21550PE,88.6,129.55,65.0,107.1,132.89999999999998,False,,0.0,-28.68,17.082500000000007,-18.5,-30.097499999999993
2024-01-17,Wednesday,21811.0,FALSE,09:33:00,13:00:00,84.0,21800CE,98.4,113.2,36.15,40.0,123.0,False,,57.42,21850PE,106.4,244.7,88.9,227.35,133.0,True,2024-01-17 10:38:00,-27.66,21800CE,61.8,66.4,36.15,40.0,92.69999999999999,False,,0.0,-27.66,35.61600000000001,21.8,29.756000000000007
2024-01-24,Wednesday,21270.2,FALSE,09:33:00,13:00:00,84.0,21300CE,102.25,202.0,66.85,126.85,127.8125,True,2024-01-24 09:54:00,-26.58,21250PE,108.2,124.4,41.05,63.75,135.25,False,,43.37,21250PE,74.85,124.4,41.05,63.75,112.27499999999999,True,2024-01-24 11:32:00,0.0,-26.58,32.26800000000001,-37.42,-31.731999999999992
2024-01-31,Wednesday,21643.95,FALSE,09:33:00,13:00:00,84.0,21700CE,85.15,166.0,83.3,115.45,106.4375,True,2024-01-31 09:43:00,-22.14,21400PE,93.15,93.15,26.85,33.2,116.4375,False,,59.02,21400PE,63.0,77.7,26.85,33.2,94.5,False,,0.0,-22.14,29.218500000000006,29.8,36.8785
2024-02-07,Wednesday,22049.95,FALSE,09:33:00,13:00:00,88.0,22000CE,111.6,129.0,35.35,41.1,139.5,False,,69.38,22000PE,105.9,203.3,85.7,173.35,132.375,True,2024-02-07 10:43:00,-27.53,22000CE,76.05,87.85,35.35,41.1,114.07499999999999,False,,0.0,-27.53,34.434,34.95,41.854
2024-02-14,Wednesday,21614.95,FALSE,09:33:00,13:00:00,84.0,21550CE,96.5,184.15,90.05,184.15,120.625,True,2024-02-14 10:01:00,-25.09,21550PE,105.6,111.85,34.3,34.3,132.0,False,,70.24,21550PE,71.0,91.65,34.3,34.3,106.5,False,,0.0,-25.09,33.544,36.7,45.153999999999996
2024-02-21,Wednesday,22238.0,FALSE,09:33:00,13:00:00,88.0,22200CE,101.4,118.0,67.55,96.0,126.75,False,,4.39,22200PE,99.2,125.95,58.0,62.25,124.0,True,2024-02-21 10:45:00,-25.79,22200CE,71.85,103.6,67.55,96.0,107.77499999999999,False,,0.0,-25.79,28.536000000000012,-24.15,-21.403999999999986
2024-02-28,Wednesday,22203.85,FALSE,09:33:00,13:00:00,88.0,22200CE,98.0,104.1,25.2,26.45,122.5,False,,70.57,22200PE,96.55,289.9,79.2,287.6,120.6875,True,2024-02-28 10:50:00,-25.1,22200CE,67.85,67.15,25.2,26.45,101.77499999999999,False,,0.0,-25.1,29.170000000000005,41.4,45.47
2024-03-06,Wednesday,22392.1,FALSE,09:33:00,13:00:00,88.0,22250CE,113.05,167.5,75.15,98.05,141.3125,True,2024-03-06 09:42:00,-29.39,22350PE,118.65,162.8,82.0,114.5,148.3125,True,2024-03-06 11:39:00,-30.85,22350PE,94.1,162.8,82.0,114.5,141.14999999999998,True,2024-03-06 10:01:00,0.0,-29.39,23.363500000000013,-47.05,-53.07649999999998
