Date,Day,Future,Expiry.Day,Start.Time,End.Time,Target,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Price,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Price,PE.SL.Flag,PE.SL.Time,PE.PNL,UT.Strike,UT.Open,UT.High,UT.Low,UT.Close,UT.SL.Price,UT.SL.Flag,UT.SL.Time,BPL,TT PL at SL,UT PL at SL,UT PL,Total PNL
2024-01-04,Thursday,71865.82,FALSE,13:45:00,15:25:00,180.0,71900CE,181.65,200.0,128.3,199.45,272.475,False,,-20.07,71900PE,188.0,199.85,105.95,107.0,282.0,False,,78.65,,,,,,,False,,58.580000000000005,0.0,0.0,0.0,58.580000000000005
2024-01-11,Thursday,71752.39,FALSE,13:45:00,15:25:00,200.0,71800CE,204.8,230.9,110.85,177.0,307.20000000000005,False,,25.24,71800PE,194.6,366.15,159.5,209.8,291.9,True,2024-01-11 14:10:00,-99.73,71800CE,152.75,223.75,110.85,177.0,229.125,False,,0.0,-99.73,49.49000000000001,-24.25,-74.49
2024-01-18,Thursday,71090.23,FALSE,13:45:00,15:25:00,270.0,71100CE,265.35,387.95,214.9,387.95,398.02500000000003,False,,-125.92,71100PE,282.75,308.7,142.8,163.6,424.125,False,,115.62,,,,,,,False,,-10.299999999999997,0.0,0.0,0.0,-10.299999999999997
2024-01-24,Wednesday,70542.9,FALSE,13:45:00,15:25:00,310.0,70600CE,313.05,728.8,291.0,688.1,469.57500000000005,True,2024-01-24 14:30:00,-160.44,70600PE,289.25,316.35,65.65,79.4,433.875,False,,206.23,70600PE,151.45,173.3,65.65,79.4,227.17499999999998,False,,0.0,-160.44,134.18437500000002,72.05,45.79437500000002
2024-02-01,Thursday,71646.51,FALSE,13:45:00,15:25:00,300.0,71700CE,301.1,355.3,212.1,247.0,451.65000000000003,False,,50.34,71700PE,303.25,312.45,181.9,261.65,454.875,False,,37.81,,,,,,,False,,88.15,0.0,0.0,0.0,88.15
2024-02-08,Thursday,71601.91,FALSE,13:45:00,15:25:00,260.0,71700CE,264.9,277.6,145.35,218.3,397.34999999999997,False,,43.29,71700PE,286.2,570.8,275.8,398.55,429.29999999999995,True,2024-02-08 14:15:00,-146.68,71700CE,172.5,224.95,145.35,218.3,258.75,False,,0.0,-146.68,89.08874999999998,-45.8,-103.39125000000003
2024-02-15,Thursday,72100.41,FALSE,13:45:00,15:25:00,340.0,72100CE,335.7,375.0,238.45,328.95,503.54999999999995,False,,2.55,72100PE,298.25,379.95,214.8,220.4,447.375,False,,74.12,,,,,,,False,,76.67,0.0,0.0,0.0,76.67
2024-02-22,Thursday,72507.39,FALSE,13:45:00,15:25:00,310.0,72500CE,305.9,814.55,302.4,813.8,458.84999999999997,True,2024-02-22 14:01:00,-156.77,72500PE,272.6,274.75,41.0,41.25,408.90000000000003,False,,227.94,72500PE,155.9,216.05,41.0,41.25,233.85000000000002,False,,0.0,-156.77,113.29250000000002,114.65,71.17250000000001
2024-02-29,Thursday,72364.72,FALSE,13:45:00,15:25:00,310.0,72500CE,308.35,376.0,217.5,374.95,462.52500000000003,False,,-70.45,72500PE,334.05,397.6,175.0,178.75,501.07500000000005,False,,151.12,,,,,,,False,,80.67,0.0,0.0,0.0,80.67
2024-03-06,Wednesday,73660.58,FALSE,13:45:00,15:25:00,270.0,73700CE,267.9,639.85,267.45,589.5,401.84999999999997,True,2024-03-06 14:05:00,-137.3,73700PE,262.15,265.0,78.9,85.9,393.22499999999997,False,,172.97,73700PE,159.45,172.9,78.9,85.9,239.17499999999998,False,,0.0,-137.3,99.42312499999998,73.55,35.67312499999997
2024-03-14,Thursday,73079.66,FALSE,13:45:00,15:25:00,260.0,73200CE,263.05,282.8,190.4,207.6,394.57500000000005,False,,52.16,73200PE,300.6,364.2,213.55,229.85,450.90000000000003,False,,66.99,,,,,,,False,,119.14999999999999,0.0,0.0,0.0,119.14999999999999
