Date,Day,Expiry.Day,Time,ST0,ST0.O,ST0.SL.Trigg,ST0.SL.Time,ST0.PL,Total PNL
2024-01-05,Friday,FALSE,09:44:00,"('21750CE', '21750PE')",231.7,False,,17.933,17.933
2024-01-12,Friday,FALSE,09:44:00,"('21750CE', '21750PE')",255.95,False,,-64.95950000000003,-64.95950000000003
2024-01-19,Friday,FALSE,09:44:00,"('21650CE', '21650PE')",314.45,False,,20.255500000000033,20.255500000000033
2024-02-02,Friday,FALSE,09:44:00,"('22000CE', '22000PE')",318.0,False,,-2.379999999999989,-2.379999999999989
2024-02-09,Friday,FALSE,09:44:00,"('21800CE', '21800PE')",347.1,False,,43.278999999999996,43.278999999999996
2024-02-16,Friday,FALSE,09:44:00,"('22050CE', '22050PE')",319.3,False,,11.457000000000034,11.457000000000034
2024-02-23,Friday,FALSE,09:44:00,"('22300CE', '22300PE')",326.75,False,,29.032500000000013,29.032500000000013
2024-03-01,Friday,FALSE,09:44:00,"('22200CE', '22200PE')",330.0,False,,-21.449999999999978,-21.449999999999978
2024-03-15,Friday,FALSE,09:44:00,"('22050CE', '22050PE')",325.75,False,,43.84250000000002,43.84250000000002
2024-04-19,Friday,FALSE,09:44:00,"('21850CE', '21850PE')",353.8,False,,-62.03799999999994,-62.03799999999994
2024-05-03,Friday,FALSE,09:44:00,"('22800CE', '22800PE')",272.45,False,,-105.1745,-105.1745
2024-05-10,Friday,FALSE,09:44:00,"('22100CE', '22100PE')",329.4,False,,32.405999999999935,32.405999999999935
2024-05-24,Friday,FALSE,09:44:00,"('23000CE', '23000PE')",347.54999999999995,False,,42.42449999999998,42.42449999999998
2024-05-31,Friday,FALSE,09:44:00,"('22650CE', '22650PE')",782.8,False,,-66.828,-66.828
2024-06-07,Friday,FALSE,09:44:00,"('22950CE', '22950PE')",461.65,False,,-74.76649999999998,-74.76649999999998
2024-06-21,Friday,FALSE,09:44:00,"('23600CE', '23600PE')",272.05,False,,-2.8704999999999776,-2.8704999999999776
2024-06-28,Friday,FALSE,09:44:00,"('24150CE', '24150PE')",337.1,False,,33.429000000000066,33.429000000000066
2024-07-05,Friday,FALSE,09:44:00,"('24250CE', '24250PE')",267.75,False,,12.472500000000005,12.472500000000005
2024-07-19,Friday,FALSE,09:44:00,"('24750CE', '24750PE')",447.04999999999995,False,,-54.42050000000005,-54.42050000000005
2024-07-26,Friday,FALSE,09:44:00,"('24550CE', '24550PE')",288.95,False,,-106.8895,-106.8895
2024-08-02,Friday,FALSE,09:44:00,"('24750CE', '24750PE')",326.5,False,,13.585000000000022,13.585000000000022
2024-08-16,Friday,FALSE,09:44:00,"('24350CE', '24350PE')",294.4,False,,-49.39399999999999,-49.39399999999999
2024-08-23,Friday,FALSE,09:44:00,"('24800CE', '24800PE')",272.7,False,,1.9729999999999888,1.9729999999999888
2024-08-30,Friday,FALSE,09:44:00,"('25250CE', '25250PE')",269.95,False,,22.450499999999977,22.450499999999977
2024-09-06,Friday,FALSE,09:44:00,"('25050CE', '25050PE')",285.7,False,,-54.90700000000001,-54.90700000000001
2024-09-13,Friday,FALSE,09:44:00,"('25350CE', '25350PE')",283.85,False,,22.611500000000046,22.611500000000046
2024-09-20,Friday,FALSE,09:44:00,"('25500CE', '25500PE')",310.45000000000005,False,,-96.80449999999999,-96.80449999999999
2024-10-04,Friday,FALSE,09:44:00,"('25250CE', '25250PE')",383.65,False,,-0.9365000000000228,-0.9365000000000228
2024-10-11,Friday,FALSE,09:44:00,"('25000CE', '25000PE')",312.95000000000005,False,,23.170500000000068,23.170500000000068
2024-10-18,Friday,FALSE,09:44:00,"('24700CE', '24700PE')",329.0,False,,-9.990000000000045,-9.990000000000045
2024-10-25,Friday,FALSE,09:44:00,"('24350CE', '24350PE')",326.6,False,,12.134000000000034,12.134000000000034
2024-11-08,Friday,FALSE,09:44:00,"('24200CE', '24200PE')",350.9,False,,46.39099999999998,46.39099999999998
2024-11-22,Friday,FALSE,09:44:00,"('23500CE', '23500PE')",370.9,False,,-173.50900000000007,-173.50900000000007
2024-11-29,Friday,FALSE,09:44:00,"('24050CE', '24050PE')",394.04999999999995,False,,53.75949999999993,53.75949999999993
2024-12-06,Friday,FALSE,09:44:00,"('24750CE', '24750PE')",456.3,False,,88.88699999999999,88.88699999999999
2024-12-13,Friday,FALSE,09:44:00,"('24400CE', '24400PE')",342.05,False,,-117.6705,-117.6705
2024-12-27,Friday,FALSE,09:44:00,"('23900CE', '23900PE')",328.65,False,,47.61349999999998,47.61349999999998
