Date,Day,Expiry.Day,Time,ST0,ST0.O,ST0.SL.Trigg,ST0.SL.Time,ST0.PL,Total PNL
2024-01-03,Wednesday,FALSE,09:42:00,"('71600CE', '71600PE')",733.2,False,,145.085,145.085
2024-01-10,Wednesday,FALSE,09:42:00,"('71400CE', '71400PE')",680.75,False,,24.84062499999991,24.84062499999991
2024-01-17,Wednesday,FALSE,09:42:00,"('72400CE', '72400PE')",802.8,False,,-359.535,-359.535
2024-01-23,Tuesday,FALSE,09:42:00,"('72000CE', '72000PE')",732.95,True,12:03:00,-569.0618750000001,-569.0618750000001
2024-01-31,Wednesday,FALSE,09:42:00,"('71400CE', '71400PE')",1287.0,False,,12.612500000000043,12.612500000000043
2024-02-07,Wednesday,FALSE,09:42:00,"('72400CE', '72400PE')",1000.6500000000001,False,,128.64187500000008,128.64187500000008
2024-02-14,Wednesday,FALSE,09:42:00,"('71000CE', '71000PE')",910.1,False,,-244.92624999999984,-244.92624999999984
2024-02-21,Wednesday,FALSE,09:42:00,"('73100CE', '73100PE')",876.95,False,,-47.86187499999986,-47.86187499999986
2024-02-28,Wednesday,FALSE,09:42:00,"('73200CE', '73200PE')",884.1,False,,-286.55124999999987,-286.55124999999987
2024-03-05,Tuesday,FALSE,09:42:00,"('73800CE', '73800PE')",779.5999999999999,False,,116.70499999999993,116.70499999999993
2024-03-13,Wednesday,FALSE,09:42:00,"('73800CE', '73800PE')",833.55,False,,-422.36937500000005,-422.36937500000005
2024-03-20,Wednesday,FALSE,09:42:00,"('72300CE', '72300PE')",780.4,False,,47.495,47.495
2024-03-26,Tuesday,FALSE,09:42:00,"('72700CE', '72700PE')",772.8,False,,104.78999999999994,104.78999999999994
2024-04-03,Wednesday,FALSE,09:42:00,"('73600CE', '73600PE')",659.45,False,,-61.14312499999986,-61.14312499999986
2024-04-09,Tuesday,FALSE,09:42:00,"('74900CE', '74900PE')",733.65,False,,66.02937499999993,66.02937499999993
2024-04-16,Tuesday,FALSE,09:42:00,"('73100CE', '73100PE')",817.2,False,,48.535,48.535
2024-04-24,Wednesday,FALSE,09:42:00,"('73900CE', '73900PE')",660.6,False,,26.842500000000022,26.842500000000022
2024-04-30,Tuesday,FALSE,09:42:00,"('74900CE', '74900PE')",785.05,False,,65.38687499999993,65.38687499999993
2024-05-08,Wednesday,FALSE,09:42:00,"('73300CE', '73300PE')",856.05,False,,111.049375,111.049375
2024-05-15,Wednesday,FALSE,09:42:00,"('73300CE', '73300PE')",755.0,False,,48.612499999999955,48.612499999999955
2024-05-22,Wednesday,FALSE,09:42:00,"('74100CE', '74100PE')",815.0,False,,97.71250000000009,97.71250000000009
2024-05-29,Wednesday,FALSE,09:42:00,"('75100CE', '75100PE')",818.9,False,,-46.83625000000002,-46.83625000000002
2024-06-05,Wednesday,FALSE,09:42:00,"('72400CE', '72400PE')",1716.25,False,,-327.3031249999999,-327.3031249999999
2024-06-12,Wednesday,FALSE,09:42:00,"('76800CE', '76800PE')",843.5,False,,-1.793750000000001,-1.793750000000001
2024-06-19,Wednesday,FALSE,09:42:00,"('77300CE', '77300PE')",717.95,False,,-8.524374999999955,-8.524374999999955
2024-06-26,Wednesday,FALSE,09:42:00,"('77900CE', '77900PE')",800.0999999999999,False,,-189.5012500000001,-189.5012500000001
2024-07-03,Wednesday,FALSE,09:42:00,"('79800CE', '79800PE')",780.75,False,,30.640625000000092,30.640625000000092
2024-07-10,Wednesday,FALSE,09:42:00,"('80300CE', '80300PE')",694.2,False,,-53.1775,-53.1775
2024-07-16,Tuesday,FALSE,09:42:00,"('80800CE', '80800PE')",847.75,False,,113.95312499999996,113.95312499999996
2024-07-24,Wednesday,FALSE,09:42:00,"('80200CE', '80200PE')",819.55,False,,162.80562499999996,162.80562499999996
2024-07-31,Wednesday,FALSE,09:42:00,"('81500CE', '81500PE')",785.45,False,,-14.71812499999998,-14.71812499999998
2024-08-07,Wednesday,FALSE,09:42:00,"('79400CE', '79400PE')",1006.3499999999999,False,,104.02062499999991,104.02062499999991
2024-08-13,Tuesday,FALSE,09:42:00,"('79700CE', '79700PE')",875.3499999999999,False,,-155.5918750000001,-155.5918750000001
2024-08-21,Wednesday,FALSE,09:42:00,"('80700CE', '80700PE')",691.8,False,,25.55249999999993,25.55249999999993
2024-08-28,Wednesday,FALSE,09:42:00,"('81700CE', '81700PE')",633.6,False,,31.479999999999976,31.479999999999976
2024-09-04,Wednesday,FALSE,09:42:00,"('82100CE', '82100PE')",695.1,False,,8.511250000000045,8.511250000000045
2024-09-11,Wednesday,FALSE,09:42:00,"('81900CE', '81900PE')",644.0,False,,-86.49999999999993,-86.49999999999993
2024-09-18,Wednesday,FALSE,09:42:00,"('83100CE', '83100PE')",803.35,False,,-184.44187499999998,-184.44187499999998
2024-09-25,Wednesday,FALSE,09:42:00,"('84900CE', '84900PE')",787.25,False,,61.95937499999995,61.95937499999995
2024-10-01,Tuesday,FALSE,09:42:00,"('84600CE', '84600PE')",833.55,False,,96.13062499999995,96.13062499999995
2024-10-09,Wednesday,FALSE,09:42:00,"('81800CE', '81800PE')",1056.7,False,,138.29125,138.29125
2024-10-16,Wednesday,FALSE,09:42:00,"('81900CE', '81900PE')",706.4000000000001,False,,-2.929999999999911,-2.929999999999911
2024-10-23,Wednesday,FALSE,09:42:00,"('80100CE', '80100PE')",970.95,False,,197.96312500000013,197.96312500000013
2024-10-29,Tuesday,FALSE,09:42:00,"('79700CE', '79700PE')",833.65,False,,-92.22062500000007,-92.22062500000007
2024-11-06,Wednesday,FALSE,09:42:00,"('79900CE', '79900PE')",986.5,False,,74.31874999999998,74.31874999999998
2024-11-12,Tuesday,FALSE,09:42:00,"('79600CE', '79600PE')",767.4,False,,-343.74249999999995,-343.74249999999995
2024-11-19,Tuesday,FALSE,09:42:00,"('78100CE', '78100PE')",806.5999999999999,False,,-229.33250000000024,-229.33250000000024
2024-11-27,Wednesday,FALSE,09:42:00,"('79900CE', '79900PE')",801.45,False,,-3.418124999999865,-3.418124999999865
2024-12-04,Wednesday,FALSE,09:42:00,"('81100CE', '81100PE')",1097.5500000000002,False,,5.830625000000179,5.830625000000179
2024-12-11,Wednesday,FALSE,09:42:00,"('81500CE', '81500PE')",828.6,False,,118.84250000000004,118.84250000000004
2024-12-18,Wednesday,FALSE,09:42:00,"('80900CE', '80900PE')",1046.65,False,,-54.983124999999866,-54.983124999999866
2024-12-24,Tuesday,FALSE,09:42:00,"('78500CE', '78500PE')",860.4000000000001,False,,135.74500000000012,135.74500000000012
