Date,Day,Expiry.Day,Start.Time,End.Time,Future,Strike,CE Price,PE Price,Premium,SL.Time,Target,UT Scrip,UT.open,UT.high,UT.low,UT.close,Straddle.PL,UT.PL,Total PNL
2024-01-01,Monday,FALSE,10:50:00,15:25:00,21875.0,"('22050CE', '21450PE')",23.85,22.3,46.150000000000006,2024-01-01 14:11:00,42.0,21700PE,48.8,86.9,36.15,84.95,-5.076500000000001,-15.127999999999998,-20.2045
2024-01-08,Monday,FALSE,10:50:00,15:25:00,21727.15,"('21900CE', '21400PE')",23.95,21.5,45.45,2024-01-08 11:06:00,42.0,21750CE,51.45,58.85,26.4,26.7,-4.999500000000001,24.235500000000002,19.236
2024-01-15,Monday,FALSE,10:50:00,15:25:00,22053.0,"('22300CE', '21650PE')",27.55,25.2,52.75,2024-01-15 14:09:00,44.0,21900PE,50.7,58.55,41.2,41.85,-5.8025,8.343000000000002,2.5405000000000015
2024-01-20,Saturday,FALSE,10:50:00,15:25:00,21706.9,"('22050CE', '21300PE')",25.7,27.15,52.849999999999994,2024-01-20 15:01:00,42.0,21850CE,44.5,48.95,38.2,47.85,-5.8135,-3.7950000000000013,-9.608500000000001
2024-01-29,Monday,FALSE,10:50:00,15:25:00,21744.05,"('22200CE', '20900PE')",21.45,22.1,43.55,2024-01-29 12:59:00,42.0,21250PE,46.25,50.0,28.3,29.6,-4.7905,16.1875,11.397
2024-02-05,Monday,FALSE,10:50:00,15:25:00,21963.15,"('22350CE', '21400PE')",22.8,23.05,45.85,2024-02-05 14:43:00,42.0,22000CE,49.8,63.4,44.15,50.25,-5.0435,-0.9480000000000028,-5.991500000000003
2024-02-12,Monday,FALSE,10:50:00,15:25:00,21742.0,"('22050CE', '21250PE')",24.4,23.35,47.75,2024-02-12 12:55:00,42.0,21900CE,49.55,59.85,38.1,44.5,-5.2525,4.554499999999997,-0.6980000000000031
2024-02-19,Monday,FALSE,10:50:00,15:25:00,22139.95,"('22400CE', '21650PE')",29.8,25.95,55.75,2024-02-19 11:14:00,44.0,21850PE,51.0,53.15,35.75,48.35,-6.1325,2.139999999999999,-3.9925000000000015
2024-02-26,Monday,FALSE,10:50:00,15:25:00,22152.85,"('22500CE', '21750PE')",27.6,29.05,56.650000000000006,,44.0,,,,,,11.383500000000003,0.0,11.383500000000003
2024-03-04,Monday,FALSE,10:50:00,15:25:00,22522.65,"('22700CE', '22000PE')",27.4,27.0,54.4,,44.0,,,,,,9.556000000000001,0.0,9.556000000000001
2024-03-11,Monday,FALSE,10:50:00,15:25:00,22503.0,"('22750CE', '22100PE')",22.45,26.0,48.45,2024-03-11 12:13:00,44.0,22550CE,58.05,71.8,38.55,41.35,-5.3295,16.119499999999995,10.789999999999996
2024-03-18,Monday,FALSE,10:50:00,15:25:00,22087.45,"('22350CE', '21600PE')",26.0,23.4,49.4,2024-03-18 11:15:00,44.0,22200CE,49.05,102.0,48.2,60.2,-5.434,-15.205499999999999,-20.639499999999998
2024-03-22,Friday,FALSE,10:50:00,15:25:00,22105.65,"('22400CE', '21700PE')",29.7,29.15,58.849999999999994,2024-03-22 14:17:00,44.0,22000PE,51.55,69.65,42.5,60.1,-6.4735,-15.980499999999997,-22.453999999999997
2024-04-01,Monday,FALSE,10:50:00,15:25:00,22616.0,"('22750CE', '22250PE')",31.05,34.0,65.05,,44.0,,,,,,11.999499999999992,0.0,11.999499999999992
2024-04-05,Friday,FALSE,10:50:00,15:25:00,22564.95,"('22800CE', '22150PE')",26.1,28.5,54.6,,44.0,,,,,,9.854,0.0,9.854
2024-04-12,Friday,FALSE,10:50:00,15:25:00,22716.95,"('22950CE', '22350PE')",24.9,27.15,52.05,2024-04-12 12:39:00,44.0,22750CE,58.4,62.9,43.0,46.5,-5.7255,11.315999999999999,5.590499999999999
2024-04-22,Monday,FALSE,10:50:00,15:25:00,22232.95,"('22550CE', '21800PE')",23.0,24.05,47.05,2024-04-22 11:50:00,44.0,22050PE,50.4,66.05,29.15,29.25,-5.1755,-15.623999999999999,-20.7995
2024-04-26,Friday,FALSE,10:50:00,15:25:00,22634.75,"('22900CE', '22050PE')",23.35,22.0,45.35,,44.0,,,,,,11.7965,0.0,11.7965
2024-05-06,Monday,FALSE,10:50:00,15:25:00,22605.0,"('22850CE', '22150PE')",28.65,27.9,56.55,,44.0,,,,,,11.234499999999997,0.0,11.234499999999997
2024-05-13,Monday,FALSE,10:50:00,15:25:00,21927.0,"('22250CE', '21400PE')",22.1,23.2,45.3,2024-05-13 11:09:00,42.0,21650PE,47.0,50.45,12.4,12.5,-4.9830000000000005,34.03,29.047
