index,from_date,to_date,start_time,end_time,sl,options_multiplier,re_entry,slipage,day,run
BANKEX,01-01-2024,30-01-2024,13:00:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,13:05:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,13:10:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,13:15:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,13:20:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,13:25:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,13:30:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,13:35:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,13:40:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,13:45:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,13:50:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,13:55:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,14:00:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,14:05:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,14:10:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,14:15:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,14:20:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,14:25:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,14:30:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,14:35:00,15:29:00,20,0.3,1,1.25,1,True
BANKEX,01-01-2024,30-01-2024,13:00:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,13:05:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,13:10:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,13:15:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,13:20:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,13:25:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,13:30:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,13:35:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,13:40:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,13:45:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,13:50:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,13:55:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,14:00:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,14:05:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,14:10:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,14:15:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,14:20:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,14:25:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,14:30:00,15:25:00,20,0.3,1,1.25,2,True
BANKEX,01-01-2024,30-01-2024,14:35:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,13:00:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,13:05:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,13:10:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,13:15:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,13:20:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,13:25:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,13:30:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,13:35:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,13:40:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,13:45:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,13:50:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,13:55:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,14:00:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,14:05:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,14:10:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,14:15:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,14:20:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,14:25:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,14:30:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,14:35:00,15:29:00,20,0.3,1,1.25,1,True
BANKNIFTY,01-01-2024,30-01-2024,13:00:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,13:05:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,13:10:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,13:15:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,13:20:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,13:25:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,13:30:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,13:35:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,13:40:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,13:45:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,13:50:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,13:55:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,14:00:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,14:05:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,14:10:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,14:15:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,14:20:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,14:25:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,14:30:00,15:25:00,20,0.3,1,1.25,2,True
BANKNIFTY,01-01-2024,30-01-2024,14:35:00,15:25:00,20,0.3,1,1.25,2,True
FINNIFTY,01-01-2024,30-01-2024,13:00:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,13:05:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,13:10:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,13:15:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,13:20:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,13:25:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,13:30:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,13:35:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,13:40:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,13:45:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,13:50:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,13:55:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,14:00:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,14:05:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,14:10:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,14:15:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,14:20:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,14:25:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,14:30:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,14:35:00,15:29:00,20,0.3,1,1.25,1,True
FINNIFTY,01-01-2024,30-01-2024,13:00:00,15:25:00,20,0.3,1,1.25,2,True
