index,from_date,to_date,start_time,end_time,gap,sl,options_multiplier,type,day,slipage,run
BANKEX,01-01-2024,30-01-2024,09:23:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:25:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:27:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:29:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:31:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:33:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:35:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:37:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:39:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:41:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:43:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:45:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:47:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:49:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:51:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:53:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:55:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:57:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:59:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,10:01:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKEX,01-01-2024,30-01-2024,09:23:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:25:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:27:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:29:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:31:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:33:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:35:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:37:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:39:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:41:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:43:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:45:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:47:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:49:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:51:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:53:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:55:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:57:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,09:59:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKEX,01-01-2024,30-01-2024,10:01:00,15:25:00,15,40,0.6,SELL,2,1.25,True
BANKNIFTY,01-01-2024,30-01-2024,09:23:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKNIFTY,01-01-2024,30-01-2024,09:25:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKNIFTY,01-01-2024,30-01-2024,09:27:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKNIFTY,01-01-2024,30-01-2024,09:29:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKNIFTY,01-01-2024,30-01-2024,09:31:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKNIFTY,01-01-2024,30-01-2024,09:33:00,15:29:00,15,40,0.6,SELL,1,1.25,True
BANKNIFTY,01-01-2024,30-01-2024,09:35:00,15:29:00,15,40,0.6,SELL,1,1.25,True
